golden_id,thread_id,customer_tweet_id,customer_created_at,full_context,customer_message,historical_brand_response,intent_label,expected_action,acceptable_resolution,label_notes
11,1649035,1649035,Sun Nov 05 20:09:51 +0000 2017,,@115858 FIX YO SHIT! Tired of this I️,@503736 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
12,1916661,1916661,Wed Oct 18 13:48:35 +0000 2017,,"Hey @115858 ever since the new IOS update my phone has been randomly freezing, shutting off, not connecting to WiFi, and it’s a 6S+ WTF",@570882 We'd like to look into this with you. What is your exact iOS version? Does it connect to any Wi-Fi networks?,connectivity,auto_handle,"Identify the connection type and relevant device/settings, then provide troubleshooting or direct the customer to private support when deeper investigation is needed.",Labeled as connectivity; expected action = auto_handle.
13,1201112,1201112,Sun Oct 15 23:21:45 +0000 2017,"customer: @AppleSupport I’ve tried wifi and data. No luck. Anyway to check if there’s an outage? We got rainfall.. and I updated OS today
brand: @402227 Got it. DM us, and we can look into this deeper. https://t.co/GDrqU22YpT",@AppleSupport can not download anything from the App Store. In canada.,@402227 Let’s team up. What happens when downloading apps from the App Store? Which device model and operating system are you using?,device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
14,403231,403231,Mon Oct 09 20:39:37 +0000 2017,,"I have the Worst luck with phone between @AppleSupport and @TMobileHelp I always have problems No service, now no battery power😡😡😡😡😡😡",@166883 Thank you for reaching out. We've received your DM and will continue working with you there.,general_or_insufficient_context,auto_handle,Request the missing details or acknowledge the customer without inventing a solution; escalate when the issue cannot be safely determined from available context.,Very short acknowledgement; prior thread context carries the meaning.
15,1582999,1582999,Sat Nov 04 16:35:09 +0000 2017,,@AppleSupport That said when I type it,@487209 We're here for you. Check out this article for help: https://t.co/xU1AGHStV6,general_or_insufficient_context,auto_handle,Request the missing details or acknowledge the customer without inventing a solution; escalate when the issue cannot be safely determined from available context.,Very short conversational reply; context should be used.
16,326424,326424,Tue Oct 10 09:51:21 +0000 2017,,@193767 @AppleSupport @116333 @119462 @123857 Battery lasting barely one day now 😡,@619015 We want to make sure your battery is working as it should. DM us with what type of device you're using; we'll go from there. https://t.co/GDrqU2kzhr,how_to_settings,auto_handle,Give concise step-by-step instructions for the relevant Apple setting or feature.,Labeled as how_to_settings; expected action = auto_handle.
17,2786495,2786494,Wed Nov 29 01:18:48 +0000 2017,"customer: @applesupport everytime I️ type the word “I️” this happens. How do I️ fix this?
brand: @777951 Thanks for reaching out. We recently released iOS 11.1.2, so let’s go ahead and upgrade to that latest version, then let us know how things go from there. This article will guide you: https://t.co/80YRnjDFDk",@AppleSupport That worked thank you!,"@777951 Great. We’re glad everything is working as expected. If you ever need us in the future, feel free to reach out. We're here to help.",connectivity,auto_handle,"Identify the connection type and relevant device/settings, then provide troubleshooting or direct the customer to private support when deeper investigation is needed.",Labeled as connectivity; expected action = auto_handle.
18,2852306,2852303,Mon Nov 27 22:30:57 +0000 2017,"customer: @AppleSupport help! My iPhone won’t turn on 😭
brand: @793021 We're here for you. We'd like to start off with which model iPhone you're using and anything else you can tell us about what happened before you discovered it would not power on. Thanks!
customer: @AppleSupport I’m using an iPhone 7 and i was browsing the net before sleeping when I woke up it was off and it won’t turn on
customer: @AppleSupport I’m connecting it now to the iTunes to update it but it’s taking too long and I’m waiting",@AppleSupport What shall i do? https://t.co/xpTaWv3KdV,"@793021 Is it still downloading iOS? Look in the top-right corner of the iTunes window for a little circular arrow; clicking on that will show the download progress. If it has downloaded already, is your iPhone screen black with a progress bar?",apple_music_media,auto_handle,"Identify the affected media feature and provide the relevant playback, library, sync, or media troubleshooting steps.",Labeled as apple_music_media; expected action = auto_handle.
19,215839,215838,Wed Oct 04 22:03:14 +0000 2017,"customer: @AppleSupport Ok thank you. I’ll dm you. What info do you need? Code from back of phone?
brand: @167330 DM us what model phone you are using and we can help out. https://t.co/GDrqU22YpT
customer: @AppleSupport New ios 11.0.2 still does not resolve Mail app issues!! Cannot connect to Microsoft office exchange without searching for ages
brand: @167330 We'd love to help in any way we can. What's happening exactly with your exchange account? Are you getting an error message?","@AppleSupport No error message, just constant spinning dial whilst phone/app connecting to exchange. Must be a 30sec lag compared to instant pre new IOS","@167330 Are you using the Mail app, Safari, or a downloaded app to access your account? Are you connected to Wi-Fi or cellular?",device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
20,2526306,2526306,Thu Nov 16 03:17:12 +0000 2017,,Hey @115858 I don’t think you fixed the glitch.,@719332 We'd like to help. Could you please send us a DM with what issue you're having so we can take a look? https://t.co/GDrqU22YpT,general_or_insufficient_context,auto_handle,Request the missing details or acknowledge the customer without inventing a solution; escalate when the issue cannot be safely determined from available context.,"Insufficient standalone information, but safe to acknowledge."
21,2759046,2759046,Tue Nov 21 04:06:55 +0000 2017,,Around what time are y’all gone stop ignoring this box issue? @AppleSupport @115858,"@772041 iOS 11 was recently updated and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/ui8Itz8ESg DM us any questions. https://t.co/GDrqU22YpT",software_update,auto_handle,"Identify the affected OS/version and provide the relevant update, workaround, or rollback guidance supported by Apple's historical responses.",Labeled as software_update; expected action = auto_handle.
22,208001,207999,Thu Oct 05 15:24:08 +0000 2017,,@AppleSupport Sure,@165206 We'd be happy to help! Does it happen while using any other Bluetooth devices?,device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
23,1693485,1693485,Mon Nov 06 17:41:11 +0000 2017,,I️ need answers. Why do I️ still get that box with the question mark. My phone is updated. @AppleSupport,@513939 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,connectivity,auto_handle,"Identify the connection type and relevant device/settings, then provide troubleshooting or direct the customer to private support when deeper investigation is needed.",Labeled as connectivity; expected action = auto_handle.
24,505071,505073,Sun Dec 03 04:05:31 +0000 2017,"customer: @AppleSupport I’ve never been able to figure out how to set all my family members up on our Apple Music family subscription without their song likes, plays and library additions showing up on my profile (which is the master account). Any detailed instructions anywhere on this?
brand: @235792 We'd like to help out the best way we can with your family's subscription to Apple Music and your library. Does their additions and songs appear on only one device or multiple? How many family members do you have on the account? Do these appear from all members?
customer: @AppleSupport If my wife or daughter add a song to their library on their iPhones, the song shows up in my library. Also their most recently-played radio stations show up at the top of my stations list. And their playlists show up on my list of playlists.
brand: @235792 We'll do our best to get things sorted out, so you each only see your preferred music. To get us headed in the right direction, do you use Family Sharing, and do each of you have your own Apple ID?",@AppleSupport We use Family Sharing. We use one Apple ID for all our iTunes purchases but each family member has an iCloud email address.,@235792 Let's take a look at one of your family members' iPhone in Settings &gt; Apple ID &gt; iTunes &amp; App Store. Make sure that person's Apple ID is signed in here as well as in iCloud.,battery_power,auto_handle,"Clarify device, iOS version, charging behavior, and battery symptoms, then provide battery-health or charging guidance supported by historical responses.",Labeled as battery_power; expected action = auto_handle.
25,437016,437016,Tue Oct 10 16:05:00 +0000 2017,,"@AppleSupport don’t know what you did when updated podcasts but it sucks. I delete the last episode in my library, I get unsubscribed?",@218781 We'd like to help. Does this issue occur with all Podcasts or a particular Podcast? Let us know in DM. https://t.co/GDrqU22YpT,account_security,escalate,Avoid exposing or requesting sensitive credentials publicly; provide safe account/security guidance and escalate for account-specific investigation when necessary.,Labeled as account_security; expected action = escalate.
26,1724426,1724426,Tue Nov 07 02:35:56 +0000 2017,,"@AppleSupport hi, my shipment W488495674 BeatsX has broken, how i claim the warantee?",@521575 Thanks for contacting us about your Beats. We are happy to help in any way we can. Let's meet in DM. https://t.co/GDrqU22YpT,device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
27,1080459,1080459,Mon Oct 23 19:33:18 +0000 2017,,"@AppleSupport I’m playing music on Spotify now, why isn’t Control Centre connected to it? I’m on an iPhone 7. #iOS11 https://t.co/8WBTSvKb7u","@361197 We're here to help. Just to make sure we understand, what are you wanting to see in Control Center when using Spotify?",purchase_store_refund,escalate,"Provide the appropriate store, sales, warranty, receipt, or refund path, escalating when transaction-specific investigation is required.",Labeled as purchase_store_refund; expected action = escalate.
28,1765893,1765893,Tue Nov 07 21:00:53 +0000 2017,,I'm so confused by this damn apple A thing with that square with the question mark y'all got me fucked up @115858,@531075 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,apple_music_media,auto_handle,"Identify the affected media feature and provide the relevant playback, library, sync, or media troubleshooting steps.",Labeled as apple_music_media; expected action = auto_handle.
29,1700766,1700766,Mon Nov 06 16:17:22 +0000 2017,,@68407 *sigh* I need this @AppleSupport @115858 glitch to be fixed ASAP! 😔,@515711 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,app_service_issue,auto_handle,"Identify the affected app/service and symptoms, then provide relevant troubleshooting or route to the appropriate service/support team.",Labeled as app_service_issue; expected action = auto_handle.
30,363739,363738,Sun Oct 08 19:54:06 +0000 2017,"customer: @AppleSupport With power saving mode ON
brand: @202200 Let's move to DM for a closer look. When did the issue begin? https://t.co/GDrqU22YpT
customer: Nauwelijks de telefoon gebruikt vandaag en nu voor de 2e keer aan de oplader. Dit is knap waardeloos @AppleSupport
brand: @202200 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj",@AppleSupport The problem is that with iOS 11.0.2 the battery of my iPhone 6 runs empty after minimal usage. I cannot work with a disfunctional phone,"@202200 Having a lasting battery is important, and we’re here to look into this with you. How long is it lasting you before each charge?",how_to_settings,auto_handle,Give concise step-by-step instructions for the relevant Apple setting or feature.,Labeled as how_to_settings; expected action = auto_handle.
31,761291,761287,Wed Oct 11 20:25:06 +0000 2017,"customer: I’m so annoyed w/ @115858’s screen recording. It always cuts out the audio in the middle of my recording. Does anyone else have this problem?
brand: @125133 We can definitely look into this with you. If you press and hold the Screen Recording option, is your Microphone on?
customer: @AppleSupport No
brand: @125133 What version of iOS are you running? This can be found in Settings &gt; General &gt; About.",@AppleSupport 11.0.2,"@125133 Let's try backing up and updating your iPhone by following this article, then test again: https://t.co/80YRnjDFDk",device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
32,561809,561807,Sun Dec 03 01:41:20 +0000 2017,"customer: @AppleSupport I update phone and I don’t have access to the Apple Pay between friends ...I don’t see icon in messages and I have Apple Pay and everything set up
brand: @251466 If you're in the US, those features will require iOS 11.2 and will begin rolling out early next week.
customer: @AppleSupport I do have 11.2!!!",@AppleSupport ?,@251466 We appreciate your interest. Those features are set to release early next week. Apple Pay Cash is not yet available. Having 11.2 already ensures you're set up for when those features release.,software_update,auto_handle,"Identify the affected OS/version and provide the relevant update, workaround, or rollback guidance supported by Apple's historical responses.",Labeled as software_update; expected action = auto_handle.
33,1471881,1471880,Fri Nov 03 01:03:45 +0000 2017,brand: @461661 We'd be happy to help with an issue you may have or schedule an appointment for you.,"@AppleSupport Okay - trying to restore iPod Classic. iTunes is not recognizing the drive to restore. Already booted into DFU mode, what next?",@461661 No worries. Follow the steps here: https://t.co/bLcjSdg2pg,battery_power,auto_handle,"Clarify device, iOS version, charging behavior, and battery symptoms, then provide battery-health or charging guidance supported by historical responses.",Labeled as battery_power; expected action = auto_handle.
34,936801,936801,Sat Oct 21 12:17:49 +0000 2017,,@AppleSupport I updated my phone two days ago and just now for 20 minuets my phone was repeatedly turning off and on! 🙄🙄🤦🏽‍♀️,@342078 We'll be happy to look into this with you. DM us the iPhone you're using and we'll get started. https://t.co/GDrqU22YpT,connectivity,auto_handle,"Identify the connection type and relevant device/settings, then provide troubleshooting or direct the customer to private support when deeper investigation is needed.",Labeled as connectivity; expected action = auto_handle.
35,2212910,2212910,Fri Nov 10 03:45:21 +0000 2017,,@AppleSupport I hate iOS 11 with a passion! It is garbage!!! Fix it now!! My Health app doesn’t refresh now. Can you just fix it already?!? I wish I had purchased an android. I have never been so disappointed with Apple 😡 #ios11sucks,"@559081 We're happy to look at your iPhone issues with you. We do have an update released today, iOS 11.1.1. DM us which iOS version you're currently on. We'll figure out the Health app issue together: https://t.co/GDrqU22YpT",app_service_issue,auto_handle,"Identify the affected app/service and symptoms, then provide relevant troubleshooting or route to the appropriate service/support team.",Labeled as app_service_issue; expected action = auto_handle.
36,1436723,1436723,Thu Nov 02 08:40:27 +0000 2017,,"@AppleSupport we are not getting response from apple India wrote two mails , i hvent expect such from apple inc.",@453533 We are here to help. DM us the details of your issue and we can take a look at this. https://t.co/GDrqU22YpT,general_or_insufficient_context,auto_handle,Request the missing details or acknowledge the customer without inventing a solution; escalate when the issue cannot be safely determined from available context.,Short conversational message; intent is weak without thread context.
37,2552506,2552506,Thu Nov 16 09:38:04 +0000 2017,,"@AppleSupport Very unhappy with the experience after the ios 11 update. Phone's getting stuck, screen rotate not working at times, keypad not working while adding calls :( iphone never used to give surprises like these in the past!",@725026 Let's look into this together. Send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT,purchase_store_refund,escalate,"Provide the appropriate store, sales, warranty, receipt, or refund path, escalating when transaction-specific investigation is required.",Labeled as purchase_store_refund; expected action = escalate.
38,1640811,1640810,Sun Nov 05 23:51:18 +0000 2017,"brand: @501624 You're welcome. If you have questions in the future, feel free to reach out to us here.
customer: @AppleSupport y’all need to do something about these keyboards
brand: @501624 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz",@AppleSupport Thanks 😄,,general_or_insufficient_context,auto_handle,Request the missing details or acknowledge the customer without inventing a solution; escalate when the issue cannot be safely determined from available context.,Context-dependent acknowledgement.
39,1591478,1591478,Sat Nov 04 20:58:52 +0000 2017,,"@AppleSupport my timer and alarms won’t work. When I set a timer, it counts down and just disappears. And alarms won’t even notify me.",@489243 We'd like to look into this with you. What iOS version are you on?,account_security,escalate,Avoid exposing or requesting sensitive credentials publicly; provide safe account/security guidance and escalate for account-specific investigation when necessary.,Labeled as account_security; expected action = escalate.
40,2207602,2207602,Fri Nov 10 01:20:44 +0000 2017,,@115858 please fix this I️ can’t handle it.,"@645426 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",apple_music_media,auto_handle,"Identify the affected media feature and provide the relevant playback, library, sync, or media troubleshooting steps.",Labeled as apple_music_media; expected action = auto_handle.
41,1645942,1645941,Tue Oct 17 15:20:40 +0000 2017,"customer: Dear @AppleSupport iOS11 gettin' 2 me! Can we downgrade bac to 10.3.3! My i6+ device not happy wit iOS11 (11.0.3) full restore! Any help! https://t.co/sqKYKXY7EG
brand: @502933 We'd love to help you with iOS 11. Try this first: https://t.co/ywHIZGN4Ac",@AppleSupport Check: Latest iTunes ☑️ Reiliable Wi-fi ☑️. Have iTunes unknown error ❌ 0xE8000013 wen trying 2activate via iTunes! Still server unreachable,@502933 There is not a way to revert back to an older iOS. Let's focus on getting you more support while on iOS 11. Meet us in DM. https://t.co/GDrqU22YpT,device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
42,371897,371897,Sun Oct 08 21:42:55 +0000 2017,,@187675 @AppleSupport Thank you. You should move that button back to Display &amp; Brightness where it used to be &amp; makes more sense. #buried,"@203893 We appreciate your feedback on this, let us know your thoughts on this here as well: https://t.co/eTPVYVFyd8",general_or_insufficient_context,auto_handle,Request the missing details or acknowledge the customer without inventing a solution; escalate when the issue cannot be safely determined from available context.,Short conversational response.
43,55942,55939,Wed Nov 01 19:44:33 +0000 2017,"customer: @AppleSupport on my second I watch in a space of 4 days, apps won’t work, is there an issue with the update?! Really not impressed...
brand: @128689 We're delighted to help. What's going on with your apps? Are they unable to open? Let us know a little more about the situation.
customer: @AppleSupport It’s the instagram, and Barclays and whatsapp apps. Instagram has lost connection. Barclays just keeps loading and and doesn’t register
customer: @AppleSupport And whatsapp doesn’t open when I tap the tab, just shows me who’s text on the screen and doesn’t let me open the message","@AppleSupport I’m now on my second I watch, and have tried the reset&amp;restart my phone and I watch etc and still not solved any problems",@128689 We want your Apple Watch to work properly. Have you also tried uninstalling and reinstalling these apps: https://t.co/ikTYqoYXpm,software_update,auto_handle,"Identify the affected OS/version and provide the relevant update, workaround, or rollback guidance supported by Apple's historical responses.",Labeled as software_update; expected action = auto_handle.
44,382471,382469,Mon Nov 06 21:16:41 +0000 2017,"customer: @115858 fix this stupid “?” glitch or i’m switching to a android 🙃
brand: @206670 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9",@AppleSupport it don’t work!!!,"@206670 Let's go ahead and meet in DM, and we can continue there. https://t.co/GDrqU22YpT",connectivity,auto_handle,"Identify the connection type and relevant device/settings, then provide troubleshooting or direct the customer to private support when deeper investigation is needed.",Labeled as connectivity; expected action = auto_handle.
45,1532213,1532212,Fri Nov 03 21:02:54 +0000 2017,"customer: @AppleSupport An album in iTunes library isn’t there anymore or in the cloud. It was a purchase
brand: @419386 Let's see what's going on with that album. First, let's make sure it's not hidden: https://t.co/jjLUETEY0J",@AppleSupport It’s not hidden. I’ve checked,"@419386 To clarify, if you search for the album in the iTunes Store, does it come up?",battery_power,auto_handle,"Clarify device, iOS version, charging behavior, and battery symptoms, then provide battery-health or charging guidance supported by historical responses.",Labeled as battery_power; expected action = auto_handle.
46,2771858,2771858,Tue Nov 21 05:20:40 +0000 2017,,"@AppleSupport Please note that I have also lost numbers that were saved in my note pad app which were crucial to me such as WiFi access, modem reset pins, bank accounts etc. Kindly assist urgently. Regards Thabo, from South Africa (2)",@774803 We know how important it is to have your data on your iPhone. You’ve come to the right place. Let us know what happens after following these steps to restart: https://t.co/OWRDHWSt4h,app_service_issue,auto_handle,"Identify the affected app/service and symptoms, then provide relevant troubleshooting or route to the appropriate service/support team.",Labeled as app_service_issue; expected action = auto_handle.
47,208920,208914,Wed Oct 04 19:48:18 +0000 2017,"customer: @AppleSupport Model A1490
brand: @165441 Thanks. Did you turn off the Cellular Data option from your Settings? Settings &gt; Cellular &gt; Cellular Data.
customer: @AppleSupport The potential mobile provider is Sprint fwiw
brand: @165441 After switching off the Cellular Data option from your Settings, did you restart your device? https://t.co/OWRDHWSt4h https://t.co/GDrqU22YpT",@AppleSupport I had not reset my device since I updated to iOS 11. Thanks for the tip.,"@165441 No problem, we're happy to help.",device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
48,2114794,2114796,Wed Nov 08 19:53:06 +0000 2017,"customer: iPhone x severe wifi connection issues compared to iPad Pro and Google Pixel 2 XL on same network. iPad and Pixel connections are immediate. iPhone X cannot seem to connect for email, twitter, ring doorbell, anything. @115858 @AppleSupport
brand: @623494 We'd love to look into this with you! To start, what iOS version are you currently on? Are you receiving any errors?
customer: @AppleSupport No errors. Just slow to connect. Version 11.0.1. I'm not upgrading to 11.1 because of known issues with that upgrade. I'm typing this on my pixel because again the X won't connect. It'll resolve itself in 5-10 mins but I didn't spend $1150 to wait when other devices connect fine.
brand: @623494 So that we can look into this further, feel free to DM us what country you're located in and we'll go from there: https://t.co/GDrqU22YpT",@AppleSupport USA,@623494 Direct Message us so we can better assist you. https://t.co/GDrqU22YpT,how_to_settings,auto_handle,Give concise step-by-step instructions for the relevant Apple setting or feature.,Labeled as how_to_settings; expected action = auto_handle.
49,1674061,1674061,Mon Nov 06 04:22:39 +0000 2017,,@AppleSupport neither the flashlight or camera lock screen buttons work on the #iPhoneX #iOS 11.1,@188725 We're happy to help. Does the issue persist after a restart? https://t.co/OWRDHWSt4h,purchase_store_refund,escalate,"Provide the appropriate store, sales, warranty, receipt, or refund path, escalating when transaction-specific investigation is required.",Labeled as purchase_store_refund; expected action = escalate.
50,1735968,1735968,Tue Nov 07 05:01:49 +0000 2017,,@524124 Nah @115858 needs to fix it ASAP 💀,@524123 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help.,general_or_insufficient_context,auto_handle,Request the missing details or acknowledge the customer without inventing a solution; escalate when the issue cannot be safely determined from available context.,Insufficient context for a more specific intent.
51,2508227,2508227,Wed Nov 15 21:02:47 +0000 2017,,@115858 where the hell have all my photos gone from my phone?!! Just updated and 2 years of photos have vanished??!!!,"@715073 We know Photos are very important for documenting your life and memories. We will definitely do all we can to see about recovering those Photos. So we can provide the best support, select the following link to join us in a DM and let us know the iOS version. https://t.co/GDrqU22YpT",software_update,auto_handle,"Identify the affected OS/version and provide the relevant update, workaround, or rollback guidance supported by Apple's historical responses.",Labeled as software_update; expected action = auto_handle.
52,2730344,2730344,Mon Nov 20 14:47:52 +0000 2017,,@AppleSupport Hi I’ve just installed a new hard drive in my MacBook and on opening Safari it re-opens with the last used search criteria in the bar / do you know how I get it to re-open with a clean search bar pls ?,@362027 We’re here to answer any questions you may have about your MacBook. You can set Safari to open to a specific web page or Homepage instead of opening previous windows. Use this article here for more: https://t.co/YNRuqonyZG,device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
53,2284098,2284098,Sat Nov 11 05:03:39 +0000 2017,,@115858 fix this I️,@663770 We're here to help. We released an update created to address this issue. Backup your iPhone and update following these steps: https://t.co/80YRnjDFDk,battery_power,auto_handle,"Clarify device, iOS version, charging behavior, and battery symptoms, then provide battery-health or charging guidance supported by historical responses.",Labeled as battery_power; expected action = auto_handle.
