golden_id,customer_message,assigned_intent,assigned_intent_signal_count,strongest_signal_intent,strongest_signal_count,top_signal_2,top_signal_2_count,matched_keywords,audit_flag,audit_reason
19,"@AppleSupport No error message, just constant spinning dial whilst phone/app connecting to exchange. Must be a 30sec lag compared to instant pre new IOS",device_troubleshooting,0,software_update,1,connectivity,1,ios 11,OK,no_strong_conflict_detected
20,Hey @115858 I don’t think you fixed the glitch.,general_or_insufficient_context,0,,0,,0,,REVIEW,no_signal_detected
21,Around what time are y’all gone stop ignoring this box issue? @AppleSupport @115858,software_update,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
22,@AppleSupport Sure,device_troubleshooting,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
23,I️ need answers. Why do I️ still get that box with the question mark. My phone is updated. @AppleSupport,connectivity,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
24,@AppleSupport We use Family Sharing. We use one Apple ID for all our iTunes purchases but each family member has an iCloud email address.,battery_power,0,apple_music_media,6,account_security,2,apple music; itunes; music; playlist; song; songs,HIGH_REVIEW,assigned=battery_power; stronger_signal=apple_music_media
25,"@AppleSupport don’t know what you did when updated podcasts but it sucks. I delete the last episode in my library, I get unsubscribed?",account_security,0,apple_music_media,2,app_service_issue,1,podcast; podcasts,HIGH_REVIEW,assigned=account_security; stronger_signal=apple_music_media
26,"@AppleSupport hi, my shipment W488495674 BeatsX has broken, how i claim the warantee?",device_troubleshooting,1,app_service_issue,1,device_troubleshooting,1,app,OK,no_strong_conflict_detected
27,"@AppleSupport I’m playing music on Spotify now, why isn’t Control Centre connected to it? I’m on an iPhone 7. #iOS11 https://t.co/8WBTSvKb7u",purchase_store_refund,0,apple_music_media,1,app_service_issue,1,music,OK,no_strong_conflict_detected
28,I'm so confused by this damn apple A thing with that square with the question mark y'all got me fucked up @115858,apple_music_media,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
29,@68407 *sigh* I need this @AppleSupport @115858 glitch to be fixed ASAP! 😔,app_service_issue,1,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
30,@AppleSupport The problem is that with iOS 11.0.2 the battery of my iPhone 6 runs empty after minimal usage. I cannot work with a disfunctional phone,how_to_settings,0,software_update,1,battery_power,1,ios 11,OK,no_strong_conflict_detected
31,@AppleSupport 11.0.2,device_troubleshooting,2,device_troubleshooting,2,apple_music_media,1,screen; microphone,OK,no_strong_conflict_detected
32,@AppleSupport ?,software_update,1,software_update,1,app_service_issue,1,ios 11,OK,no_strong_conflict_detected
33,"@AppleSupport Okay - trying to restore iPod Classic. iTunes is not recognizing the drive to restore. Already booted into DFU mode, what next?",battery_power,0,apple_music_media,1,app_service_issue,1,itunes,OK,no_strong_conflict_detected
34,@AppleSupport I updated my phone two days ago and just now for 20 minuets my phone was repeatedly turning off and on! 🙄🙄🤦🏽‍♀️,connectivity,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
35,@AppleSupport I hate iOS 11 with a passion! It is garbage!!! Fix it now!! My Health app doesn’t refresh now. Can you just fix it already?!? I wish I had purchased an android. I have never been so disappointed with Apple 😡 #ios11sucks,app_service_issue,1,software_update,1,purchase_store_refund,1,ios 11,OK,no_strong_conflict_detected
36,"@AppleSupport we are not getting response from apple India wrote two mails , i hvent expect such from apple inc.",general_or_insufficient_context,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
37,"@AppleSupport Very unhappy with the experience after the ios 11 update. Phone's getting stuck, screen rotate not working at times, keypad not working while adding calls :( iphone never used to give surprises like these in the past!",purchase_store_refund,0,app_service_issue,2,software_update,1,app; not working,HIGH_REVIEW,assigned=purchase_store_refund; stronger_signal=app_service_issue
38,@AppleSupport Thanks 😄,general_or_insufficient_context,0,software_update,1,app_service_issue,1,software update,OK,no_strong_conflict_detected
39,"@AppleSupport my timer and alarms won’t work. When I set a timer, it counts down and just disappears. And alarms won’t even notify me.",account_security,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
40,@115858 please fix this I️ can’t handle it.,apple_music_media,0,,0,,0,,REVIEW,no_signal_detected
41,@AppleSupport Check: Latest iTunes ☑️ Reiliable Wi-fi ☑️. Have iTunes unknown error ❌ 0xE8000013 wen trying 2activate via iTunes! Still server unreachable,device_troubleshooting,0,software_update,1,connectivity,1,ios 11,OK,no_strong_conflict_detected
42,@187675 @AppleSupport Thank you. You should move that button back to Display &amp; Brightness where it used to be &amp; makes more sense. #buried,general_or_insufficient_context,0,app_service_issue,1,device_troubleshooting,1,app,OK,no_strong_conflict_detected
43,"@AppleSupport I’m now on my second I watch, and have tried the reset&amp;restart my phone and I watch etc and still not solved any problems",software_update,0,device_troubleshooting,2,connectivity,1,screen; restart,HIGH_REVIEW,assigned=software_update; stronger_signal=device_troubleshooting
44,@AppleSupport it don’t work!!!,connectivity,0,software_update,1,app_service_issue,1,software update,OK,no_strong_conflict_detected
45,@AppleSupport It’s not hidden. I’ve checked,battery_power,0,apple_music_media,2,purchase_store_refund,1,itunes; album,HIGH_REVIEW,assigned=battery_power; stronger_signal=apple_music_media
46,"@AppleSupport Please note that I have also lost numbers that were saved in my note pad app which were crucial to me such as WiFi access, modem reset pins, bank accounts etc. Kindly assist urgently. Regards Thabo, from South Africa (2)",app_service_issue,1,connectivity,1,app_service_issue,1,wifi,OK,no_strong_conflict_detected
47,@AppleSupport I had not reset my device since I updated to iOS 11. Thanks for the tip.,device_troubleshooting,1,how_to_settings,2,software_update,1,settings; turn off,OK,no_strong_conflict_detected
48,@AppleSupport USA,how_to_settings,0,connectivity,3,app_service_issue,1,wifi; network; connection,HIGH_REVIEW,assigned=how_to_settings; stronger_signal=connectivity
49,@AppleSupport neither the flashlight or camera lock screen buttons work on the #iPhoneX #iOS 11.1,purchase_store_refund,0,device_troubleshooting,2,software_update,1,screen; camera,HIGH_REVIEW,assigned=purchase_store_refund; stronger_signal=device_troubleshooting
50,@524124 Nah @115858 needs to fix it ASAP 💀,general_or_insufficient_context,0,,0,,0,,REVIEW,no_signal_detected
51,@115858 where the hell have all my photos gone from my phone?!! Just updated and 2 years of photos have vanished??!!!,software_update,0,,0,,0,,REVIEW,no_signal_detected
52,@AppleSupport Hi I’ve just installed a new hard drive in my MacBook and on opening Safari it re-opens with the last used search criteria in the bar / do you know how I get it to re-open with a clean search bar pls ?,device_troubleshooting,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
53,@115858 fix this I️,battery_power,0,,0,,0,,REVIEW,no_signal_detected
54,Hey @AppleSupport iOS 11 it’s so pretty but is ñor functional. Decrease the battery and is too slow to open any app.,connectivity,0,software_update,1,battery_power,1,ios 11,OK,no_strong_conflict_detected
55,@AppleSupport I DMed you the details.,apple_music_media,1,software_update,1,connectivity,1,ios 11,OK,no_strong_conflict_detected
56,Ummmm @AppleSupport my I️ are not i suddenly!!!,app_service_issue,1,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
57,@AppleSupport Here we go again trying to add a song to my library and it won’t work😑😑😑😑,account_security,0,apple_music_media,2,app_service_issue,1,song; songs,HIGH_REVIEW,assigned=account_security; stronger_signal=apple_music_media
58,"@AppleSupport Okay, I really don’t know how this happened. I did not try something else, but the tracks are magically in order now. 😄 I have nothing to do with this &amp; don’t know how this happened, but I ain’t complaining. 🤷🏻‍♂️😊 https://t.co/DUazRhboB9",purchase_store_refund,1,purchase_store_refund,1,app_service_issue,1,order,OK,no_strong_conflict_detected
59,"Do they even sell replacement screens for iPhone 5s? 😂 I feel like my phone is so old, but I can't afford to replace it. @applesupport",how_to_settings,0,purchase_store_refund,1,app_service_issue,1,replacement,OK,no_strong_conflict_detected
60,"@AppleSupport Yes, no, and the US, respectively. :)",device_troubleshooting,0,battery_power,1,connectivity,1,battery,OK,no_strong_conflict_detected
61,@AppleSupport That sort of misses my point. I don't want to need iCloud at all. I'm often without data and want to not need data to access my stuff.,software_update,0,how_to_settings,2,account_security,1,how do i; how to,HIGH_REVIEW,assigned=software_update; stronger_signal=how_to_settings
62,"@AppleSupport Are we gonna get the option of Mobile Hotspot in next update of ios, or should we downgrade to Android?",battery_power,0,connectivity,1,app_service_issue,1,hotspot,OK,no_strong_conflict_detected
63,@AppleSupport When i txt apple users i will receive the message as a iMessage and a txt me.,connectivity,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
64,@AppleSupport Smh,device_troubleshooting,0,software_update,1,app_service_issue,1,software update,OK,no_strong_conflict_detected
65,@AppleSupport No. Fix your shit. The new update is shit. Bye. Im going to android,general_or_insufficient_context,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
66,@AppleSupport i have the 6s plus and my battery is always going out sooo fast,apple_music_media,0,battery_power,2,app_service_issue,1,battery; battery life,HIGH_REVIEW,assigned=apple_music_media; stronger_signal=battery_power
67,@AppleSupport - when does your Bluewater store re-open please?,app_service_issue,1,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
68,@AppleSupport Is this link relevant to iPhone X? @115858 New Zealand page has different prices and there is no mention of backside glass panel.,purchase_store_refund,1,purchase_store_refund,1,app_service_issue,1,applecare,OK,no_strong_conflict_detected
69,@AppleSupport Why can’t I️ see any emojis with the new update 🤬🤬🤬,account_security,0,software_update,1,battery_power,1,ios 11,OK,no_strong_conflict_detected
70,@AppleSupport 11.1,how_to_settings,0,software_update,1,connectivity,1,ios 11,OK,no_strong_conflict_detected
71,@AppleSupport you asked me to send a DM. Don’t know what that is. Here’s a solid picture of what is happening https://t.co/7M9EQ02Jqo,general_or_insufficient_context,0,purchase_store_refund,1,app_service_issue,1,bought,OK,no_strong_conflict_detected
72,@AppleSupport But i can take from Dubai ?,software_update,0,purchase_store_refund,1,app_service_issue,1,purchase,OK,no_strong_conflict_detected
73,This just happened; simply snapped while I was unplugging it from my iPhone. A friend told me you could help? @AppleSupport @115858 https://t.co/yTw9mkSFMf,device_troubleshooting,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
74,@AppleSupport If I️ wanna move app from one side to the other? When I️ drag them and finally drop the app where I️ want it goes back to where it was.,battery_power,2,battery_power,2,app_service_issue,1,battery; battery drain,OK,no_strong_conflict_detected
75,I’m so sick of @115858 ever since the new iPhone came out mine has been acting up I can’t even update my fucking apps 😒😤,connectivity,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
76,"@AppleSupport God I’ve been tweeting constantly as have others. I can DM but it’s just a shitty design for your new keyboard. I type letters as a,ways and the stupid numbers appear instead.",apple_music_media,0,app_service_issue,1,device_troubleshooting,1,app,OK,no_strong_conflict_detected
77,"@AppleSupport Maybe for about 3 months, it used to be pretty far apart like hours apart now it feels like every 20 minutes or so. And i have an iPhone 7",app_service_issue,1,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
78,Ever since the update my phone freezes at least twice a day 🙃🙃 @115858,purchase_store_refund,0,,0,,0,,REVIEW,no_signal_detected
79,@AppleSupport No not using low power mode. Seeing many others having same problem as I am with slow glitchy phone. When will this update be fixed?,account_security,0,software_update,1,app_service_issue,1,ios 11,OK,no_strong_conflict_detected
80,Still having battery charge issues @115858 @AppleSupport #sodisappointed,how_to_settings,0,battery_power,1,app_service_issue,1,battery,OK,no_strong_conflict_detected
81,@AppleSupport iOS 11.0.2,device_troubleshooting,3,device_troubleshooting,3,software_update,1,iphone issue; screen; freezing,OK,no_strong_conflict_detected
82,"@AppleSupport Difficult to organise the photos by app wise like WhatsApp and Facebook etc,,,",general_or_insufficient_context,0,software_update,1,app_service_issue,1,ios 11,OK,no_strong_conflict_detected
83,@AppleSupport Up to date https://t.co/xPAT6FApBS,software_update,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
84,@AppleSupport New bug? “it” gets autocorrected to “I.T”. Or is it just me? #iOS11,battery_power,0,software_update,1,app_service_issue,1,ios 11,OK,no_strong_conflict_detected
85,@AppleSupport Do you know why I am unable to see the software on iPhone 8plus? I have my old phone 6s on 11.0.2 and I can’t use my backup https://t.co/wFY6NUTxQU,connectivity,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
86,Can we get some help with this? @AppleSupport @115858 i can’t type a capital i https://t.co/CC6wu0XkVv,apple_music_media,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
87,"@AppleSupport Hello , I've got this problem , what should I do? , I couldn't stop finding my iPhone https://t.co/m2PrnX9F9c",app_service_issue,1,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
88,@AppleSupport why can’t I️ use I️?!? https://t.co/DrohhYBMSH,purchase_store_refund,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
89,My phone really fucking up😡😡😡😡😡😡😡 hanging up in the middle of my ft calls WTF @AppleSupport,account_security,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
90,Yo this update ruined my phone... @115858,how_to_settings,0,,0,,0,,REVIEW,no_signal_detected
91,I️ wanna know why my phone has question marks replacing my I’s...? @AppleSupport,software_update,1,software_update,1,app_service_issue,1,software update,OK,no_strong_conflict_detected
92,@296627 @115858 Yup! My phone used to last all day now I charge it about 3 times.,device_troubleshooting,0,battery_power,2,app_service_issue,1,battery; battery drain,HIGH_REVIEW,assigned=device_troubleshooting; stronger_signal=battery_power
93,@AppleSupport It happened outside as well. It seems to be happening a lot and only since the iOS update.,battery_power,0,software_update,1,app_service_issue,1,ios update,OK,no_strong_conflict_detected
94,@AppleSupport When I’m on him screen an nothin is being used I still just adjust he headphones volume.,connectivity,0,apple_music_media,1,app_service_issue,1,music,OK,no_strong_conflict_detected
95,@AppleSupport I have wifi,apple_music_media,0,connectivity,4,app_service_issue,1,wifi; wi-fi; cellular; internet,HIGH_REVIEW,assigned=apple_music_media; stronger_signal=connectivity
96,@AppleSupport @424988 I also have iPhone 7 and the app is still down. 😟,app_service_issue,2,app_service_issue,2,software_update,1,app; app store,OK,no_strong_conflict_detected
97,@AppleSupport I cannot change my Apple ID as the verification code is being sent to a closed email address. Help!,purchase_store_refund,0,account_security,2,app_service_issue,1,apple id; verification code,HIGH_REVIEW,assigned=purchase_store_refund; stronger_signal=account_security
98,@AppleSupport iOS 11.0.3,account_security,0,software_update,1,app_service_issue,1,ios 11,OK,no_strong_conflict_detected
99,@AppleSupport i always used control center. i don’t have a need to use bluetooth connectivity so it’s disheartening when i find it on and using battery needlessly. i’ll try going to settings to see if that will fix the repetitive issue.,how_to_settings,2,connectivity,2,how_to_settings,2,bluetooth; connection,MEDIUM_REVIEW,ambiguous=connectivity/how_to_settings
100,@AppleSupport @115858 are you guys waiting to reply until my warranty expires? #whatsup #iphonex #iPhone8 #iPhone #iphone7 #apple,general_or_insufficient_context,0,purchase_store_refund,1,app_service_issue,1,warranty,OK,no_strong_conflict_detected
101,@AppleSupport Thanks!,device_troubleshooting,0,software_update,1,app_service_issue,1,ios 11,OK,no_strong_conflict_detected
102,@AppleSupport Its not a battery issue you allways make this changes on the updates to disturbe the oldes phones and make us tu buy new one 🤨,software_update,1,battery_power,2,software_update,1,battery; battery health,OK,no_strong_conflict_detected
103,"@AppleSupport Hi, so I had 6k+ pictures got deleted. Yes there's 230 in the recently deleted but those are the only ones remained. https://t.co/RfjENfG2zj",battery_power,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
104,@AppleSupport Still doesn’t work,connectivity,1,connectivity,1,app_service_issue,1,internet,OK,no_strong_conflict_detected
105,@AppleSupport Thank you for your response! Please see your DMs.,general_or_insufficient_context,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
106,@118936 @AppleSupport CAN YAL PLEASE FIX THIS SHIT I️ &lt;— PLEASE 😒😒😒😒,apple_music_media,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
107,@AppleSupport Done,app_service_issue,2,app_service_issue,2,how_to_settings,1,app; application,OK,no_strong_conflict_detected
108,I hope @115858 honors my earphones warranty. My left earphone is malfunctioning,purchase_store_refund,1,purchase_store_refund,1,,0,warranty,OK,no_strong_conflict_detected
109,@AppleSupport Done 👍🏼,account_security,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
110,@AppleSupport So why is my phone doing this,general_or_insufficient_context,0,software_update,1,connectivity,1,ios 11,OK,no_strong_conflict_detected
111,@AppleSupport I am on an iPhone 7 as well,device_troubleshooting,1,app_service_issue,1,device_troubleshooting,1,app,OK,no_strong_conflict_detected
112,@AppleSupport Thank you!,software_update,1,software_update,1,app_service_issue,1,software update,OK,no_strong_conflict_detected
113,"@AppleSupport so my iPhone wont connect to iTunes on my laptop, what should I do ?",battery_power,0,apple_music_media,1,app_service_issue,1,itunes,OK,no_strong_conflict_detected
114,"The least you can do is give us a new update to get rid of these boxes, or a new phone will do @AppleSupport",connectivity,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
115,@AppleSupport I’m just trying to update twitter and the App Store is asking me to do this so I enter my CVV and it get’s declined https://t.co/fXW4XM1tre,apple_music_media,0,app_service_issue,2,purchase_store_refund,1,app; app store,HIGH_REVIEW,assigned=apple_music_media; stronger_signal=app_service_issue
116,@AppleSupport why does my IPhone 7+ keep draining out fast ever since the iOS 11 update came out???,app_service_issue,1,software_update,1,app_service_issue,1,ios 11,OK,no_strong_conflict_detected
117,"@115858, the “i” problem is... sorta fixed...? https://t.co/4lMkNxJ0yh",purchase_store_refund,0,,0,,0,,REVIEW,no_signal_detected
118,@AppleSupport It happen atleast twice in a week since the phone is 2weeks old. Currently am using ios 11.0.3. And also device is getting heat to core.,general_or_insufficient_context,0,software_update,1,app_service_issue,1,ios 11,OK,no_strong_conflict_detected
119,"@AppleSupport iOS 11.2 supposedly adds Apple Pay to iMessage, can not seem to figure out how to enable it for the life of me. Halp! #iOS112 #ApplePay #iMessage",account_security,0,how_to_settings,2,software_update,1,how to; enable,HIGH_REVIEW,assigned=account_security; stronger_signal=how_to_settings
120,@AppleSupport Yesterday or day before.,how_to_settings,0,device_troubleshooting,2,software_update,1,frozen; freezing,HIGH_REVIEW,assigned=how_to_settings; stronger_signal=device_troubleshooting
121,@115858 why does my iPhone 7 Plus keep getting stuck in landscape after using YouTube? New since 11 update. https://t.co/G6htQNXSYM,device_troubleshooting,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
122,this update has me messed up @115858 why is my “I️” turned into A with a box🙄,software_update,0,,0,,0,,REVIEW,no_signal_detected
123,@AppleSupport 11.03 and still my own ringtones will not work 😱😭,battery_power,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
124,@AppleSupport since the release of iOS 11 my iPhone 5s battery drains alot. In the morning it is 100% but when i get out of school its 3%,connectivity,0,battery_power,2,software_update,1,battery; battery drain,HIGH_REVIEW,assigned=connectivity; stronger_signal=battery_power
125,@498613 @AppleSupport I don’t think it worked for me 🤔,apple_music_media,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
126,@AppleSupport That’s not the issue. The app is find. Just double showing in location settings as per my last screenshot.,app_service_issue,1,device_troubleshooting,2,app_service_issue,1,screen; restart,OK,no_strong_conflict_detected
127,"@AppleSupport Hi, my friend bought iphone x from italian apple site and now he need an invoice (he has a Vat italian code) instead of a simple receipt. Is it possible to request? How? Thanks for your reply!",purchase_store_refund,3,purchase_store_refund,3,app_service_issue,1,receipt; invoice; bought,OK,no_strong_conflict_detected
128,Can someone at @AppleSupport explain why this WiFi/Bluetooth glitch is still happening almost 3 weeks later?! So amateur 🤦🏻‍♂️,account_security,0,connectivity,2,app_service_issue,1,wifi; bluetooth,HIGH_REVIEW,assigned=account_security; stronger_signal=connectivity
129,"@115858 iphone 📱 is not as before. Not reliable as before and not as good. Freezes, WiFi and Bluetooth on randomly. WTF total BS",how_to_settings,0,connectivity,2,,0,wifi; bluetooth,HIGH_REVIEW,assigned=how_to_settings; stronger_signal=connectivity
130,@AppleSupport I did it! Did it work?? 🙈🙈,general_or_insufficient_context,0,software_update,1,app_service_issue,1,software update,OK,no_strong_conflict_detected
131,@115858 when tf you gonna fix this shit I️,device_troubleshooting,0,,0,,0,,REVIEW,no_signal_detected
132,@AppleSupport Messenger. Used to be that the posts I haven't read rise to the top. They are not doing that now. iOS11 on 7+,software_update,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
133,@AppleSupport gave us 2+ updates for ios11. My piece of shit still resets when I hit home from lock screen. I wanna smash it on the ground,battery_power,0,app_service_issue,1,device_troubleshooting,1,app,OK,no_strong_conflict_detected
134,@AppleSupport Yes. It normally rotates freely. It just gets “confused” sometimes. Especially locking the phone in one orientation and opening in another,connectivity,0,app_service_issue,1,device_troubleshooting,1,app,OK,no_strong_conflict_detected
135,@AppleSupport I do. How can I restore them onto my phone?,apple_music_media,0,software_update,1,account_security,1,ios 11,OK,no_strong_conflict_detected
136,@AppleSupport Why do I️ need to do this at all? Can’t you guys release a patch to fix it?,app_service_issue,1,app_service_issue,1,device_troubleshooting,1,app,OK,no_strong_conflict_detected
137,@AppleSupport Thank You.,general_or_insufficient_context,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
138,"@AppleSupport ios 11 made my battery look horrible, and it's catching a lot",purchase_store_refund,0,software_update,1,battery_power,1,ios 11,OK,no_strong_conflict_detected
139,@AppleSupport It’s continuously dying at 20% or 25% and it doesn’t turn back on . the Apple sign will flash as if it’s turning back on for 15 min at a time and then it’ll finally come back on . My maps also doesn’t follow my actions and my phone dies ridiculously fast,account_security,0,purchase_store_refund,1,app_service_issue,1,buy,OK,no_strong_conflict_detected
140,"You’ve done it again @115858 @AppleSupport, another update to the #iPhone that just makes it even slower &amp; more glitchy…",how_to_settings,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
141,@AppleSupport Done!,general_or_insufficient_context,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
142,@AppleSupport have you worked out why iOS 11 is draining my battery?,device_troubleshooting,0,software_update,1,battery_power,1,ios 11,OK,no_strong_conflict_detected
143,"@115858 since you made the 10.13 update, haven't been able to restore a full time machine or a full disk image. nice one, you broke 2 backups",software_update,0,,0,,0,,REVIEW,no_signal_detected
144,@AppleSupport @501930 do this!!,battery_power,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
145,"@115858 Why is it so hard to turn off wifi/BT in OS11? I wish i could dump a tub of discarded shrimp shells on the idiot who thought it's a ""feature"" to keep em running when you turn 'em off in CP. Many work in areas that restrict wifi/BT! Can't buy new iphone until this is fixed!",connectivity,1,connectivity,1,purchase_store_refund,1,wifi,OK,no_strong_conflict_detected
146,@AppleSupport Old iPhone has since been erased and traded in. So not sure if music exists anymore.,apple_music_media,2,apple_music_media,2,purchase_store_refund,1,itunes; music,OK,no_strong_conflict_detected
147,@AppleSupport Yup,app_service_issue,1,app_service_issue,1,how_to_settings,1,app,OK,no_strong_conflict_detected
148,Any problem reported last hours about #iPhone or #iOS? My #iPhone6 and my wife’s #iPhone7Plus got freezed on black screen for more than 3 hours at the same time! @AppleSupport I have restored both devices after sometime of trying and finaly lost messages! Can you explain this? https://t.co/dmVtEBZt0Z,purchase_store_refund,0,app_service_issue,1,device_troubleshooting,1,app,OK,no_strong_conflict_detected
149,"@AppleSupport ,my iphone 6s+ , got freeze daily and apps get unresponsive ..it has been happing since installed ios 11",account_security,0,software_update,1,app_service_issue,1,ios 11,OK,no_strong_conflict_detected
150,I was charging my phone and it still died on me... wtf y'all got going on @AppleSupport these iPhone batteries are ass,how_to_settings,0,battery_power,1,app_service_issue,1,charging,OK,no_strong_conflict_detected
151,@AppleSupport Could you just get os 11.02 sorted battery time a disaster now 😡,device_troubleshooting,2,device_troubleshooting,2,software_update,1,screen; restart,OK,no_strong_conflict_detected
152,@AppleSupport Yes. Should I erase &amp; restore?,software_update,0,app_service_issue,1,device_troubleshooting,1,app,OK,no_strong_conflict_detected
153,"@AppleSupport Google Chrome and Safari. Yes videos, but the screen wavers and flickers sometimes just on the desktop or non-video apps",battery_power,0,app_service_issue,2,device_troubleshooting,2,app; doesn't work,HIGH_REVIEW,assigned=battery_power; stronger_signal=app_service_issue
154,@AppleSupport No,connectivity,0,apple_music_media,1,app_service_issue,1,music,OK,no_strong_conflict_detected
155,@AppleSupport Sent.,general_or_insufficient_context,0,battery_power,3,app_service_issue,1,battery; battery drain; battery draining,HIGH_REVIEW,assigned=general_or_insufficient_context; stronger_signal=battery_power
156,@AppleSupport Overall crappy performance. 😶,apple_music_media,2,battery_power,2,apple_music_media,2,battery; battery life,MEDIUM_REVIEW,ambiguous=battery_power/apple_music_media
