golden_id,customer_message,context,true_intent,predicted_intent,intent_confidence,retrieval_score,retrieved_customer_message,historical_brand_response,predicted_action,expected_action,decision_reason,generated_reply,intent_correct,action_correct
29,@68407 *sigh* I need this @AppleSupport @115858 glitch to be fixed ASAP! 😔,,app_service_issue,purchase_store_refund,0.2955,0.8863,@115858 @AppleSupport FIX THIS I️ glitch!!!!!!,Here’s what you can do to work around the issue until it’s fixed in a future software update:,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,False,False
30,@AppleSupport The problem is that with iOS 11.0.2 the battery of my iPhone 6 runs empty after minimal usage. I cannot work with a disfunctional phone,customer: @AppleSupport With power saving mode ON brand: @202200 Let's move to DM for a closer look. When did the issue begin? https://t.co/GDrqU22YpT customer: Nauwelijks de telefoon gebruikt vandaag en nu voor de 2e keer aan de oplader. Dit is knap waardeloos @AppleSupport brand: @202200 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,how_to_settings,software_update,0.8213,0.7591,@AppleSupport the battery of my #iphone 6 runs out very quickly after ios 11.1...can you help to fix this problem? #iOS111 #apple #problems,"Let's look into this. Let us know which device and iOS we're working with, in DM, and we'll continue.",auto_handle,auto_handle,sufficient_confidence_and_evidence,"Thanks for the details. Let's look into this. Let us know which device and iOS we're working with, in DM, and we'll continue.",False,True
31,@AppleSupport 11.0.2,"customer: I’m so annoyed w/ @115858’s screen recording. It always cuts out the audio in the middle of my recording. Does anyone else have this problem? brand: @125133 We can definitely look into this with you. If you press and hold the Screen Recording option, is your Microphone on? customer: @AppleSupport No brand: @125133 What version of iOS are you running? This can be found in Settings &gt; General &gt; About.",device_troubleshooting,software_update,0.7658,1.0,@AppleSupport 11.0.2,You can delete website data &amp; history by using the steps here: let us know if that number changes,auto_handle,auto_handle,sufficient_confidence_and_evidence,Thanks for the details. You can delete website data &amp; history by using the steps here: let us know if that number changes,False,True
32,@AppleSupport ?,"customer: @AppleSupport I update phone and I don’t have access to the Apple Pay between friends ...I don’t see icon in messages and I have Apple Pay and everything set up brand: @251466 If you're in the US, those features will require iOS 11.2 and will begin rolling out early next week. customer: @AppleSupport I do have 11.2!!!",software_update,device_troubleshooting,0.4972,1.0,@AppleSupport ?,"We apologize for the delay, was the playlist synced from iTunes?",escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
33,"@AppleSupport Okay - trying to restore iPod Classic. iTunes is not recognizing the drive to restore. Already booted into DFU mode, what next?",brand: @461661 We'd be happy to help with an issue you may have or schedule an appointment for you.,battery_power,apple_music_media,0.7626,0.6515,@AppleSupport I installed iTunes &amp; tried restore but it errors out every time,"Okay, can you tell us what the error says? For example, do you receive an error number?",auto_handle,auto_handle,sufficient_confidence_and_evidence,"Thanks for reaching out. Okay, can you tell us what the error says? For example, do you receive an error number?",False,True
34,@AppleSupport I updated my phone two days ago and just now for 20 minuets my phone was repeatedly turning off and on! 🙄🙄🤦🏽‍♀️,,connectivity,purchase_store_refund,0.3325,0.8459,@AppleSupport MY PHONE HAS BEEN STUCK UPDATING FOR 15 HOURS!!!!,We're here to help. Can you tell us if you are updating applications or are you trying to update the operating system?,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,False,False
35,@AppleSupport I hate iOS 11 with a passion! It is garbage!!! Fix it now!! My Health app doesn’t refresh now. Can you just fix it already?!? I wish I had purchased an android. I have never been so disappointed with Apple 😡 #ios11sucks,,app_service_issue,software_update,0.5198,0.7099,@AppleSupport new IOS 11 causing electronic medical rececord app MyMedRec to not work and important medical data unavailable!,We'll help anyway we can. Is this only happening with the third-party app?,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
36,"@AppleSupport we are not getting response from apple India wrote two mails , i hvent expect such from apple inc.",,general_or_insufficient_context,purchase_store_refund,0.4185,0.776,@AppleSupport can you please help me with apple India customer care no.?,We'd be happy to help. Please DM us details of what exactly is going on and we'll continue with you there.,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,False,False
37,"@AppleSupport Very unhappy with the experience after the ios 11 update. Phone's getting stuck, screen rotate not working at times, keypad not working while adding calls :( iphone never used to give surprises like these in the past!",,purchase_store_refund,app_service_issue,0.6014,0.8147,Well I tried... but iOS 11 still sucks. @AppleSupport bugs with apps that are updating getting stuck.. and issues with auto-rotate..,We're here for you. Which version of iOS 11 are you running? Check by tapping Settings &gt; General &gt; About.,auto_handle,escalate,sufficient_confidence_and_evidence,Thanks for letting us know. We're here for you. Which version of iOS 11 are you running? Check by tapping Settings &gt; General &gt; About.,False,False
38,@AppleSupport Thanks 😄,"brand: @501624 You're welcome. If you have questions in the future, feel free to reach out to us here. customer: @AppleSupport y’all need to do something about these keyboards brand: @501624 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz",general_or_insufficient_context,device_troubleshooting,0.2427,1.0,@AppleSupport Thanks 🙏🏼,None,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
39,"@AppleSupport my timer and alarms won’t work. When I set a timer, it counts down and just disappears. And alarms won’t even notify me.",,account_security,device_troubleshooting,0.2901,0.8206,@AppleSupport my alarm/timer has suddenly stopped working. Tried to restart and reset my phone and still nothing. Any suggestions?,"We'd like to take a closer look at this to figure out the best path forward. Send over more details of what's happening specifically via DM. Along with that, let us know what type of iPhone you're using and your current iOS version.",escalate,escalate,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,True
40,@115858 please fix this I️ can’t handle it.,,apple_music_media,device_troubleshooting,0.3328,0.9392,@115858 please fix this. I️ can’t live this way.,Hi there! This should fix you up:,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
41,@AppleSupport Check: Latest iTunes ☑️ Reiliable Wi-fi ☑️. Have iTunes unknown error ❌ 0xE8000013 wen trying 2activate via iTunes! Still server unreachable,customer: Dear @AppleSupport iOS11 gettin' 2 me! Can we downgrade bac to 10.3.3! My i6+ device not happy wit iOS11 (11.0.3) full restore! Any help! https://t.co/sqKYKXY7EG brand: @502933 We'd love to help you with iOS 11. Try this first: https://t.co/ywHIZGN4Ac,device_troubleshooting,apple_music_media,0.7507,0.7102,@AppleSupport iTunes Win7. Rebooted but always get “error connecting to Apple ID server”,We can look into this with you. Let's start here:,auto_handle,auto_handle,sufficient_confidence_and_evidence,Thanks for reaching out. We can look into this with you. Let's start here:,False,True
42,@187675 @AppleSupport Thank you. You should move that button back to Display &amp; Brightness where it used to be &amp; makes more sense. #buried,,general_or_insufficient_context,device_troubleshooting,0.453,0.7085,@AppleSupport Thank you. But shouldn’t that be under the brightness menu?,That feature has moved locations starting with iOS 11. We welcome you to share feedback here:,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
43,"@AppleSupport I’m now on my second I watch, and have tried the reset&amp;restart my phone and I watch etc and still not solved any problems","customer: @AppleSupport on my second I watch in a space of 4 days, apps won’t work, is there an issue with the update?! Really not impressed... brand: @128689 We're delighted to help. What's going on with your apps? Are they unable to open? Let us know a little more about the situation. customer: @AppleSupport It’s the instagram, and Barclays and whatsapp apps. Instagram has lost connection. Barclays just keeps loading and and doesn’t register customer: @AppleSupport And whatsapp doesn’t open when I tap the tab, just shows me who’s text on the screen and doesn’t let me open the message",software_update,device_troubleshooting,0.6977,0.8009,@496783 @AppleSupport I have the same issue. Full reset on watch and iphone too.,We appreciate your interest and encourage you to stay up to date on Apple news here:,auto_handle,auto_handle,sufficient_confidence_and_evidence,Thanks for letting us know. We appreciate your interest and encourage you to stay up to date on Apple news here:,False,True
44,@AppleSupport it don’t work!!!,customer: @115858 fix this stupid “?” glitch or i’m switching to a android 🙃 brand: @206670 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,connectivity,device_troubleshooting,0.3122,0.9531,@AppleSupport It didn’t work!! 😞,None,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
45,@AppleSupport It’s not hidden. I’ve checked,"customer: @AppleSupport An album in iTunes library isn’t there anymore or in the cloud. It was a purchase brand: @419386 Let's see what's going on with that album. First, let's make sure it's not hidden: https://t.co/jjLUETEY0J",battery_power,app_service_issue,0.2218,0.9243,@AppleSupport Nothing shows as hidden.,Thanks for checking. Let’s get you connected to an iTunes Store advisor who can look further into this:,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
46,"@AppleSupport Please note that I have also lost numbers that were saved in my note pad app which were crucial to me such as WiFi access, modem reset pins, bank accounts etc. Kindly assist urgently. Regards Thabo, from South Africa (2)",,app_service_issue,connectivity,0.4162,0.6466,@AppleSupport I will try and back it up from my laptop if not the I will have lost all my numbers,Let's take a closer look at this together. Please DM us and let's work together there.,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
47,@AppleSupport I had not reset my device since I updated to iOS 11. Thanks for the tip.,"customer: @AppleSupport Model A1490 brand: @165441 Thanks. Did you turn off the Cellular Data option from your Settings? Settings &gt; Cellular &gt; Cellular Data. customer: @AppleSupport The potential mobile provider is Sprint fwiw brand: @165441 After switching off the Cellular Data option from your Settings, did you restart your device? https://t.co/OWRDHWSt4h https://t.co/GDrqU22YpT",device_troubleshooting,software_update,0.9064,0.8879,"@AppleSupport iOS 11.2, I did not restart my phone before.",Let's look into this further. DM us to continue.,auto_handle,auto_handle,sufficient_confidence_and_evidence,Thanks for the details. Let's look into this further. DM us to continue.,False,True
48,@AppleSupport USA,"customer: iPhone x severe wifi connection issues compared to iPad Pro and Google Pixel 2 XL on same network. iPad and Pixel connections are immediate. iPhone X cannot seem to connect for email, twitter, ring doorbell, anything. @115858 @AppleSupport brand: @623494 We'd love to look into this with you! To start, what iOS version are you currently on? Are you receiving any errors? customer: @AppleSupport No errors. Just slow to connect. Version 11.0.1. I'm not upgrading to 11.1 because of known issues with that upgrade. I'm typing this on my pixel because again the X won't connect. It'll resolve itself in 5-10 mins but I didn't spend $1150 to wait when other devices connect fine. brand: @623494 So that we can look into this further, feel free to DM us what country you're located in and we'll go from there: https://t.co/GDrqU22YpT",how_to_settings,purchase_store_refund,0.2809,1.0,@AppleSupport USA,Thanks. Let's get you in the right place. Our Apple TV specialist will be able to assist you here:,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,False,False
49,@AppleSupport neither the flashlight or camera lock screen buttons work on the #iPhoneX #iOS 11.1,,purchase_store_refund,device_troubleshooting,0.7501,0.6721,"@AppleSupport iPhone X, on the lock screen, camera and flashlight buttons are green and I can’t use them. Searched but cant fix it. Any help?",Congratulations on your new iPhone X! We know how important it is to have your new device working as expected. Let's work together in DM here:,auto_handle,escalate,sufficient_confidence_and_evidence,Thanks for letting us know. Congratulations on your new iPhone X! We know how important it is to have your new device working as expected. Let's work together in DM here:,False,False
50,@524124 Nah @115858 needs to fix it ASAP 💀,,general_or_insufficient_context,device_troubleshooting,0.3351,0.8775,@115858 fix it I️ 😡,Here’s what you can do to work around the issue until it’s fixed in a future software update:,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
51,@115858 where the hell have all my photos gone from my phone?!! Just updated and 2 years of photos have vanished??!!!,,software_update,device_troubleshooting,0.3467,0.8699,I’m so pissed off at @115858 right now !!! I updated my phone &amp; lost all my pictures. This is NOT ok 😡,Let's take a look at this together. Do you use iCloud Photo Library? Is that on in Settings &gt; Photos? Let us know in DM.,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
52,@AppleSupport Hi I’ve just installed a new hard drive in my MacBook and on opening Safari it re-opens with the last used search criteria in the bar / do you know how I get it to re-open with a clean search bar pls ?,,device_troubleshooting,how_to_settings,0.5356,0.5399,@AppleSupport kindly see attached. Search bar is always on. https://t.co/3PGouUZFbt,We can definitely see what you mean and we'd like to help. Which iOS version is installed? Has your iPhone been restarted?,escalate,auto_handle,low_intent_confidence;low_historical_evidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
53,@115858 fix this I️,,battery_power,device_troubleshooting,0.3732,1.0,@115858 fix this I️,Here’s what you can do to work around the issue until it’s fixed in a future software update:,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
54,Hey @AppleSupport iOS 11 it’s so pretty but is ñor functional. Decrease the battery and is too slow to open any app.,,connectivity,software_update,0.8433,0.8148,@AppleSupport Totally disappointed with iOS 11. Not working smoothly as before. Taking time to load any app. Apple is not like before now a days.,We'd like to look into these issues with you. Please DM us about this and we'll continue there.,auto_handle,auto_handle,sufficient_confidence_and_evidence,Thanks for the details. We'd like to look into these issues with you. Please DM us about this and we'll continue there.,False,True
