golden_id,customer_message,context,generated_reply,historical_brand_response,predicted_action,groundedness,relevance,helpfulness,actionability,brand_alignment,overall_quality,human_escalation_correct,human_notes
64,"@AppleSupport Smh","customer: Updated my phone and i still see questions marks. Wtf @115858
brand: @505952 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9","Thanks for the details. We’re here to help. Let us know via DM if this happens after going to Settings > Keyboards > Predictive and turn it off.","We’re here to help. Let us know via DM if this happens after going to Settings > Keyboards > Predictive and turn it off.",auto_handle,5,5,4,4,5,4,1,"Matches the historical troubleshooting step and gives a specific keyboard setting to check."
77,"@AppleSupport Maybe for about 3 months, it used to be pretty far apart like hours apart now it feels like every 20 minutes or so. And i have an iPhone 7","customer: @115858 @AppleSupport WHY does my phone vibrate even when i don’t have any kind of notification? Got me thinking someone actually texted me but nooo my phone is just randomly vibrating 🤷🏾‍♀️
brand: @788713 Thanks for bringing this behavior to our attention. Let’s work together to get this addressed. To clarify, how long has this been happening? Also, approximately how often does it happen? Which iPhone are you using?","We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.","We're here to help! We'd like to find out more to help narrow this down a bit. Does this seem to happen when a certain app is in use? Do any notifications or messages come up on the screen after the phone vibrates? Which iOS version are you using?",escalate,4,4,3,3,5,3,1,"Escalation is reasonable for a recurring unexplained vibration issue, though the generated response is generic and omits useful diagnostic questions."
171,"@AppleSupport Thank you 😌","customer: This “I️” dilemma is really starting to piss me off @AppleSupport fix this shit asap
brand: @498618 Check out this article for more details on that behavior, including how to address it: https://t.co/xXaXeeSRt9","We would like to look into how we can assist. DM us the current iOS version you're using and which device.","We would like to look into how we can assist. DM us the current iOS version you're using and which device.",auto_handle,5,5,4,4,5,4,1,"Matches the historical response and requests iOS/device details that are relevant to the known issue."
113,"@AppleSupport so my iPhone wont connect to iTunes on my laptop, what should I do ?","","We'd be happy to look into this with you. Let's meet in DM so we can gather some information and proceed there.","We'd be happy to look into this with you. Let's meet in DM so we can gather some information and proceed there.",auto_handle,5,5,4,4,5,4,1,"Matches the historical response and appropriately moves the iTunes connection issue to DM for troubleshooting."
150,"I was charging my phone and it still died on me... wtf y'all got going on @AppleSupport these iPhone batteries are ass","","Thanks for the details. That's not the experience we want for you. Reach out to us in a DM and we'll work from there.","That's not the experience we want for you. Reach out to us in a DM and we'll work from there.",auto_handle,5,5,4,4,5,4,1,"Matches the historical response and appropriately directs the customer to DM for battery assistance."
120,"@AppleSupport Yesterday or day before.","customer: @AppleSupport iOS 11.03 voiceOver freezing all apps,safari on launch. App still frozen after VoiceOver deactivated. Hard reset no help.
brand: @334358 We want to look into this issue with you. How long ago did you update your device to iOS 11.0.3?","Thanks for the details. Please send us a DM and we will look into this together. Thank you.","Please send us a DM and we will look into this together. Thank you.",auto_handle,5,5,4,4,5,4,1,"Matches the historical response and appropriately asks the customer to move to DM."
58,"@AppleSupport Okay, I really don’t know how this happened. I did not try something else, but the tracks are magically in order now. 😄 I have nothing to do with this & don’t know how this happened, but I ain’t complaining. 🤷🏻‍♂️😊 https://t.co/DUazRhboB9","","We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.","We'd like to look into this with you. To get started, send us a DM by clicking on the link below. We'll continue there.",escalate,4,4,2,3,5,3,1,"Escalation is appropriate because the customer reports an unexpected media behavior, but the reply is generic."
18,"@AppleSupport What shall i do? https://t.co/xpTaWv3KdV","customer: @AppleSupport help! My iPhone won’t turn on 😭
brand: @793021 We're here for you. We'd like to start off with which model iPhone you're using and anything else you can tell us about what happened before you discovered it would not power on. Thanks!
customer: @AppleSupport I’m using an iPhone 7 and i was browsing the net before sleeping when I woke up it was off and it won’t turn on
customer: @AppleSupport I’m connecting it now to the iTunes to update it but it’s taking too long and I’m waiting","We'd like to help! Send us a DM with the country that you are located in to continue.","We'd like to help! Send us a DM with the country that you are located in to continue.",auto_handle,4,4,2,2,5,3,0,"Although the reply asks for location, it does not address the immediate power-on/update problem and should not be auto-handled."
101,"@AppleSupport Thanks!","customer: @115858 so were you going to fix this “i” situation ... or you just chilling? Like my mans said .. Got a damn iPhone and the “i” don’t work
brand: @661424 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6 DM us if there's any questions. https://t.co/GDrqU22YpT","We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.","Glad you reached out. Please DM us and we can chat.",escalate,4,4,2,2,5,3,1,"Escalation is appropriate, but the generated reply is generic compared with the historical guidance about the iOS update."
40,"@115858 please fix this I️ can’t handle it.","","We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.","We certainly understand how frustrating that can be. Are you up to date on iOS 11.1.1? This update was intended to fix that issue. Go ahead and send us a DM.",escalate,4,4,2,2,5,3,1,"Escalation is reasonable for the persistent keyboard issue, but the reply misses the specific iOS 11.1.1 workaround."
119,"@AppleSupport iOS 11.2 supposedly adds Apple Pay to iMessage, can not seem to figure out how to enable it for the life of me. Halp! #iOS112 #ApplePay #iMessage","","It will be coming this fall. Keep an eye out here for updated information:","It will be coming this fall. Keep an eye out here for updated information:",auto_handle,5,5,3,3,5,4,1,"Matches the historical response and correctly sets expectations about availability, though it is not a detailed how-to answer."
134,"@AppleSupport Yes. It normally rotates freely. It just gets “confused” sometimes. Especially locking the phone in one orientation and opening in another","customer: @AppleSupport how come sometimes my 6S+ cant decide what orientation to use? Happens constantly :( https://t.co/XNse7kZa0j
brand: @753008 We want to look into this further with you. Does this only occur on the lock screen? Which iOS version are you running?
customer: @AppleSupport 11.0.3. Symptoms started in 11. Also happens in programs in bed/@ beach. Gets stuck in side orient or amalgam of both, blocking some buttons
brand: @753008 We appreciate that information! Next, have you tried the steps listed here: https://t.co/FvlNC7YmZ4","Thanks for the details. This isn't something we expect to happen. Does this occur with all apps or only specific apps? Which iOS version is installed?","This isn't something we expect to happen. Does this occur with all apps or only specific apps? Which iOS version is installed?",auto_handle,5,5,4,4,5,4,1,"Matches the historical diagnostic direction and asks useful follow-up questions about the orientation problem."
133,"@AppleSupport gave us 2+ updates for ios11. My piece of shit still resets when I hit home from lock screen. I wanna smash it on the ground","","Thanks for the details. None","None",auto_handle,1,1,1,1,1,1,0,"Generated reply is 'None' despite a serious reset/crash complaint; there is no useful assistance."
167,"@AppleSupport this is done when the phone is idle.","customer: @AppleSupport hello, under Ios 11.0.2 do you know of the iPhone 5S and SE which sometimes do not ring or vibrate during the calls received ?
brand: @216746 If this is happening with your iPhone, we'd like to take a closer look. Does this happen with every call? Have you restarted?
customer: @AppleSupport Yes, we restarted the phones. And that does very often since the last update. We had never had this problem under IOS 10.x.","Thank you for taking the time to reach out to us. We'd love to look into this with you. Did the issue occur at all prior to updating? Does restarting make any difference? Let us know in DM.","Thank you for taking the time to reach out to us. We'd love to look into this with you. Did the issue occur at all prior to updating? Does restarting make any difference? Let us know in DM.",auto_handle,5,5,4,4,5,4,1,"Matches the historical response and asks relevant diagnostic questions for a call-notification issue."
148,"Any problem reported last hours about #iPhone or #iOS? My #iPhone6 and my wife’s #iPhone7Plus got freezed on black screen for more than 3 hours at the same time! @AppleSupport I have restored both devices after sometime of trying and finaly lost messages! Can you explain this? https://t.co/dmVtEBZt0Z","","Thanks for the details. We'll get this sorted out! Send us a DM, and let us know which iOS version is currently installed.","We'll get this sorted out! Send us a DM, and let us know which iOS version is currently installed.",auto_handle,5,5,4,4,5,4,1,"Matches the historical response and asks for the iOS version while moving the investigation forward."
128,"Can someone at @AppleSupport explain why this WiFi/Bluetooth glitch is still happening almost 3 weeks later?! So amateur 🤦🏻‍♂️","","Thanks for the details. Let's work on this Bluetooth issue. Does this happen when you try to turn on Bluetooth from the Control center or Settings?","Let's work on this Bluetooth issue. Does this happen when you try to turn on Bluetooth from the Control center or Settings?",auto_handle,5,5,4,4,5,4,1,"Matches the historical Bluetooth troubleshooting and asks a useful Settings-versus-Control Center question."
163,"Why does my battery on my iPhone 6 drain rapidly now since I did the latest update @AppleSupport ! Not happy that iphone is not reliable","","Thanks for the details. Let's get to the bottom of this. Which version of iOS are you on? You can find that in Settings > General > About. Reply in DM.","Let's get to the bottom of this. Which version of iOS are you on? You can find that in Settings > General > About. Reply in DM.",auto_handle,5,5,4,4,5,4,1,"Matches the historical response and requests the iOS version with a clear path to continue in DM."
122,"this update has me messed up @115858 why is my “I️” turned into A with a box🙄","","We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.","Here’s what you can do to work around the issue until it’s fixed in a future software update:",escalate,4,5,3,3,5,3,1,"Escalation is reasonable, but the generated reply is generic and omits the historical workaround for the known 'I' issue."
36,"@AppleSupport we are not getting response from apple India wrote two mails , i hvent expect such from apple inc.","","This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.","We'd be happy to help. Please DM us details of what exactly is going on and we'll continue with you there.",escalate,4,4,2,3,5,3,1,"Escalation is appropriate for potentially account- or transaction-specific support, but the reply is generic."
24,"@AppleSupport We use Family Sharing. We use one Apple ID for all our iTunes purchases but each family member has an iCloud email address.","customer: @AppleSupport I’ve never been able to figure out how to set all my family members up on our Apple Music family subscription without their song likes, plays and library additions showing up on my profile (which is the master account). Any detailed instructions anywhere on this?
brand: @235792 We'd like to help out the best way we can with your family's subscription and your library. Does their additions and songs appear on only one device or multiple? How many family members do you have on the account? Do these appear from all members?
customer: @AppleSupport If my wife or daughter add a song to their library on their iPhones, the song shows up in my library. Also their most recently-played radio stations show up at the top of my stations list. And their playlists show up on my list of playlists.
brand: @235792 We'll do our best to get things sorted out, so you each only see your preferred music. To get us headed in the right direction, do you use Family Sharing, and do each of you have your own Apple ID?","We know it's important to enjoy your music and understand how Apple Music works. We'd be happy to help out. Let's meet in DM.","We know it's important to enjoy your music and understand how Apple Music works. We'd be happy to help out. Let's meet in DM.",auto_handle,5,5,4,4,5,4,1,"Matches the historical family-sharing support approach and appropriately moves the detailed account configuration discussion to DM."
66,"@AppleSupport i have the 6s plus and my battery is always going out sooo fast","customer: @AppleSupport my battery life sucks
brand: @272364 We understand the importance of battery life, and want to assist as much as possible! Which device are you using?","Thanks for the details. Battery life is everything. Let's help! Which exact iOS version are you using? When did you first notice this battery issue?","Battery life is everything. Let's help! Which exact iOS version are you using? When did you first notice this battery issue?",auto_handle,5,5,4,4,5,4,1,"Matches the historical battery-support approach and asks for useful diagnostic details."
2,"@AppleSupport Thank You!","customer: @115858 please fix this auto brightness. Drains my battery
brand: @235802 You can disable that if you'd like. Just go to Settings > General > Accessibility > Display Accommodations. Let us know if that helps.","In iOS 11, you can turn auto-brightness on or off in Settings > General > Accessibility > Display.","In iOS 11, you can turn auto-brightness on or off in Settings > General > Accessibility > Display.",auto_handle,5,5,5,5,5,5,1,"Directly matches the historical answer and provides a specific Settings path to disable auto-brightness."
43,"@AppleSupport I’m now on my second I watch, and have tried the reset&restart my phone and I watch etc and still not solved any problems","customer: @AppleSupport on my second I watch in a space of 4 days, apps won’t work, is there an issue with the update?! Really not impressed...
brand: @128689 We're delighted to help. What's going on with your apps? Are they unable to open? Let us know a little more about the situation.
customer: @AppleSupport It’s the instagram, and Barclays and whatsapp apps. Instagram has lost connection. Barclays just keeps loading and and doesn’t register
customer: @AppleSupport And whatsapp doesn’t open when I tap the tab, just shows me who’s text on the screen and doesn’t let me open the message","Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can troubleshoot together.","Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can troubleshoot together.",auto_handle,5,5,4,4,5,4,1,"Matches the historical response and appropriately asks the user to continue troubleshooting in DM."
121,"@115858 why does my iPhone 7 Plus keep getting stuck in landscape after using YouTube? New since 11 update. https://t.co/G6htQNXSYM","customer: @AppleSupport No there is not an update available.","We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.","Let's check this out together. Follow us to DM and we'll take a closer look.",escalate,4,4,2,2,5,3,1,"Escalation is reasonable for a persistent post-update orientation problem, but the generated reply gives little specific help."
80,"Still having battery charge issues @115858 @AppleSupport #sodisappointed","","Thanks for the details. Let's take a look at your battery life together. Maybe we can find a resolution. Tell us the details in DM. We'll work there.","Let's take a look at your battery life together. Maybe we can find a resolution. Tell us the details in DM. We'll work there.",auto_handle,5,5,4,4,5,4,1,"Matches the historical response and appropriately asks the customer to provide battery details in DM."
45,"@AppleSupport It’s not hidden. I’ve checked","customer: @AppleSupport An album in iTunes library isn’t there anymore or in the cloud. It was a purchase
brand: @419386 Let's see what's going on with that album. First, let's make sure it's not hidden: https://t.co/jjLUETEY0J","Do you have Apple Music? Send us a DM, and let us know.","Do you have Apple Music? Send us a DM, and let us know.",auto_handle,5,5,4,4,5,4,1,"Matches the historical response and asks an appropriate clarifying question about Apple Music."
99,"@AppleSupport i always used control center. i don’t have a need to use bluetooth connectivity so it’s disheartening when i find it on and using battery needlessly. i’ll try going to settings to see if that will fix the repetitive issue.","customer: i’d appreciate it, @115858, if you’d STOP automatically turning on my bluetooth connection on my iPad when being forced to do a restart after the numerous #iOS11 updates. thanks.
brand: @233550 Hey there. It's not expected for Bluetooth to turn on by itself when turned off, so we want to look into this with you. Are you turning it off from the Settings app, or attempting to turn it off from the Control Center?","If you're disabling your Bluetooth in the Control Center this is expected behavior. To stop this from happening, you'll want to navigate to Settings > Bluetooth to completely turn it off. Read more about that here:","If you're disabling your Bluetooth in the Control Center this is expected behavior. To stop this from happening, you'll want to navigate to Settings > Bluetooth to completely turn it off. Read more about that here:",auto_handle,5,5,3,4,5,4,1,"Matches the historical behavior explanation and provides the correct Settings path, though the reply could better address the customer's frustration."
