reviewer2_id,original_review_id,golden_id,customer_message,context,predicted_intent,intent_confidence,retrieval_score,predicted_action,generated_reply,historical_brand_response,reviewer2_groundedness,reviewer2_relevance,reviewer2_helpfulness,reviewer2_actionability,reviewer2_brand_alignment,reviewer2_overall_quality,reviewer2_escalation_correct,reviewer2_notes
11,,128,Can someone at @AppleSupport explain why this WiFi/Bluetooth glitch is still happening almost 3 weeks later?! So amateur 🤦🏻‍♂️,,,,,auto_handle,are you trying to toggle bluetooth from the Control Center or directly in Settings?,Let's work on this Bluetooth issue. Does this happen when you try to turn on Bluetooth from the Control center or Settings?,5,5,4,4,5,4,1,"Directly targets the known Control Center vs. Settings toggle distinction."
12,,36,"@AppleSupport we are not getting response from apple India wrote two mails , i hvent expect such from apple inc.",,,,,escalate,sorry you haven't heard back yet. DM us the details of what you sent and we'll look into this for you.,We'd be happy to help. Please DM us details of what exactly is going on and we'll continue with you there.,4,4,3,3,5,3,1,"Appropriately handles lack of communication via DM path."
13,,8,Rented a 4K movie on the 4K Apple TV and the audio was out of sync with the video by more than a second. Thinking maybe hardware issue I tried downloading it on my iPad and it was the same. Good job @AppleSupport,,,,,auto_handle,we've got an Apple TV team that handles these exact sync issues. you can reach them here: [https://t.co/SDIe7UiyJN](https://t.co/SDIe7UiyJN),"No worries, we have a dedicated team available to assist. Reach our Apple TV specialists here:",5,5,5,5,5,5,1,"Accurately routes to specialized Apple TV support team with historical link."
14,,18,@AppleSupport What shall i do? [https://t.co/xpTaWv3KdV](https://t.co/xpTaWv3KdV),"customer: @AppleSupport help! My iPhone won’t turn on 😭
brand: @793021 We're here for you. We'd like to start off with which model iPhone you're using and anything else you can tell us about what happened before you discovered it would not power on. Thanks!
customer: @AppleSupport I’m using an iPhone 7 and i was browsing the net before sleeping when I woke up it was off and it won’t turn on
customer: @AppleSupport I’m connecting it now to the iTunes to update it but it’s taking too long and I’m waiting",,,,auto_handle,is the screen still black or are you seeing a progress bar in iTunes? shoot us a DM and we'll get this sorted out.,We'd like to help! Send us a DM with the country that you are located in to continue.,5,5,4,4,5,4,1,"Directly addresses the iTunes recovery progress state."
15,,58,"@AppleSupport Okay, I really don’t know how this happened. I did not try something else, but the tracks are magically in order now. 😄 I have nothing to do with this & don’t know how this happened, but I ain’t complaining. 🤷🏻‍♂️😊 [https://t.co/DUazRhboB9](https://t.co/DUazRhboB9)",,,,,escalate,glad it sorted itself out! let us know if the tracks act up again.,"We'd like to look into this with you. To get started, send us a DM by clicking on the link below. We'll continue there.",5,5,4,4,5,4,1,"Friendly and acknowledges the spontaneous fix."
16,,24,@AppleSupport We use Family Sharing. We use one Apple ID for all our iTunes purchases but each family member has an iCloud email address.,"customer: @AppleSupport I’ve never been able to figure out how to set all my family members up on our Apple Music family subscription without their song likes, plays and library additions showing up on my profile (which is the master account). Any detailed instructions anywhere on this?
brand: @235792 We'd like to help out the best way we can with your family's subscription and your library. Does their additions and songs appear on only one device or multiple? How many family members do you have on the account? Do these appear from all members?
customer: @AppleSupport If my wife or daughter add a song to their library on their iPhones, the song shows up in my library. Also their most recently-played radio stations show up at the top of my stations list. And their playlists show up on my list of playlists.
brand: @235792 We'll do our best to get things sorted out, so you each only see your preferred music. To get us headed in the right direction, do you use Family Sharing, and do each of you have your own Apple ID?",,,,auto_handle,let's get your family sharing settings sorted so your libraries stop mixing. shoot us a DM.,We know it's important to enjoy your music and understand how Apple Music works. We'd be happy to help out. Let's meet in DM.,4,4,3,3,5,3,1,"Appropriately routes complex account settings to DM."
17,,56,Ummmm @AppleSupport my I️ are not i suddenly!!!,,,,,escalate,thanks for reaching out. we have your DM and we'll continue helping you there.,"Thank you for your patience. Rest assured, we've received your DM messages and will respond from there.",3,3,2,2,4,2,1,"Generic response for an unclear text bug, though handles escalation context."
18,,66,@AppleSupport i have the 6s plus and my battery is always going out sooo fast,"customer: @AppleSupport my battery life sucks
brand: @272364 We understand the importance of battery life, and want to assist as much as possible! Which device are you using?",,,,auto_handle,"when did you first notice it draining so fast? also, what exact iOS version is the 6s plus on?",Battery life is everything. Let's help! Which exact iOS version are you using? When did you first notice this battery issue?,5,5,4,4,5,4,1,"Asks relevant diagnostic details for battery complaints."
19,,64,@AppleSupport Smh,"customer: Updated my phone and i still see questions marks. Wtf @115858
brand: @505952 Here’s what you can do to work around the issue until it’s fixed in a future software update: [https://t.co/xXaXeeSRt9](https://t.co/xXaXeeSRt9)",,,,auto_handle,try turning off Predictive text (Settings > Keyboards > Predictive) and let us know in a DM if that stops the question marks.,We’re here to help. Let us know via DM if this happens after going to Settings > Keyboards > Predictive and turn it off.,5,5,4,4,5,4,1,"Provides a specific helpful workaround for the text issue."
20,,177,"Yo, @115858 what’s up with this update? Got my phone looking like it’s on android status!",,,,,auto_handle,let's figure this out. what exactly is happening with your iphone after the update? DM us the details and we'll take a look.,We're here to help. What's happening specifically with your iPhone? Send us a DM and let us know.,4,4,3,3,5,3,1,"Good clarification question for a vague complaint."
21,,163,Why does my battery on my iPhone 6 drain rapidly now since I did the latest update @AppleSupport ! Not happy that iphone is not reliable,,,,,auto_handle,what iOS version is your 6 running right now? (Settings > General > About). let us know in a DM.,Let's get to the bottom of this. Which version of iOS are you on? You can find that in Settings > General > About. Reply in DM.,5,5,4,4,5,4,1,"Asks for precise iOS version for battery troubleshooting."
22,,12,"Hey @115858 ever since the new IOS update my phone has been randomly freezing, shutting off, not connecting to WiFi, and it’s a 6S+ WTF",,,,,auto_handle,that sounds super frustrating. what iOS version are you currently on?,We'd love to help out. Do you know what version of the iOS is on the device?,5,5,4,4,5,4,1,"Empathetic tone and requests version info."
23,,40,@115858 please fix this I️ can’t handle it.,,,,,escalate,11.1.1 actually fixes the 'I' bug. have you updated to that version yet?,We certainly understand how frustrating that can be. Are you up to date on iOS 11.1.1? This update was intended to fix that issue. Go ahead and send us a DM.,5,5,4,4,5,4,1,"Directly points to the specific patch version addressing the bug."
24,,133,@AppleSupport gave us 2+ updates for ios11. My piece of shit still resets when I hit home from lock screen. I wanna smash it on the ground,,,,,auto_handle,None,None,1,1,1,1,1,1,0,"Generated reply is None; total failure case preserved as intended."
25,,43,"@AppleSupport I’m now on my second I watch, and have tried the reset&restart my phone and I watch etc and still not solved any problems","customer: @AppleSupport on my second I watch in a space of 4 days, apps won’t work, is there an issue with the update?! Really not impressed...
brand: @128689 We're delighted to help. What's going on with your apps? Are they unable to open? Let us know a little more about the situation.
customer: @AppleSupport It’s the instagram, and Barclays and whatsapp apps. Instagram has lost connection. Barclays just keeps loading and and doesn’t register
customer: @AppleSupport And whatsapp doesn’t open when I tap the tab, just shows me who’s text on the screen and doesn’t let me open the message",,,,auto_handle,let's figure out why those apps are crashing on your watch. DM us when you have a minute.,Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can troubleshoot together.,4,4,3,3,5,3,1,"Friendly check-in, moving technical troubleshooting to DM."
26,,122,this update has me messed up @115858 why is my “I️” turned into A with a box🙄,,,,,escalate,we have a quick workaround for the A/box bug until the next update drops. try this out: [https://t.co/xXaXeeSRt9,Here](https://t.co/xXaXeeSRt9,Here)’s what you can do to work around the issue until it’s fixed in a future software update:,5,5,4,4,5,4,1,"Provides useful workaround link for the known text bug."
27,,76,"@AppleSupport God I’ve been tweeting constantly as have others. I can DM but it’s just a shitty design for your new keyboard. I type letters as a,ways and the stupid numbers appear instead.","customer: @AppleSupport what is with this freaking keyboard in recent update. I’m so sick of correcting numbers sneaking into my words I’m now willing to look at other products
brand: @665906 We want to help. Let's continue in DM. [https://t.co/GDrqU22YpT](https://t.co/GDrqU22YpT)",,,,auto_handle,None,None,1,1,1,1,1,1,0,"Generated reply is None; intentional failure case."
28,,80,Still having battery charge issues @115858 @AppleSupport #sodisappointed,,,,,auto_handle,"let's take a closer look at the battery issue. DM us your device model and what you've noticed, and we'll work through it with you.",Let's take a look at your battery life together. Maybe we can find a resolution. Tell us the details in DM. We'll work there.,5,5,4,4,5,4,1,"Strong engagement and clear DM handoff for battery troubleshooting."
29,,187,@AppleSupport Yes I am.,"customer: @applesupport How does my phone battery decrease by up to 40% overnight when not in use with the new update!?!#iOS11
brand: @511674 Battery life is important. We’d like to help. Are you using iOS 11.1?",,,,auto_handle,wow that's a big drop. which iphone model are you using?,We'd like to look at this with you. Which iPhone do you have?,5,5,4,4,5,4,1,"Acknowledges severity and asks for device model."
30,,148,Any problem reported last hours about #iPhone or #iOS? My #iPhone6 and my wife’s #iPhone7Plus got freezed on black screen for more than 3 hours at the same time! @AppleSupport I have restored both devices after sometime of trying and finaly lost messages! Can you explain this? [https://t.co/dmVtEBZt0Z,,,,,auto_handle,that](https://t.co/dmVtEBZt0Z,,,,,auto_handle,that) sounds stressful. DM us which iOS version both phones were on before they froze.,"We'll get this sorted out! Send us a DM, and let us know which iOS version is currently installed.",5,5,4,4,5,4,1,"Empathetic tone and appropriate version check for frozen devices."
31,,47,@AppleSupport I had not reset my device since I updated to iOS 11. Thanks for the tip.,"customer: @AppleSupport Model A1490
brand: @165441 Thanks. Did you turn off the Cellular Data option from your Settings? Settings > Cellular > Cellular Data.
customer: @AppleSupport The potential mobile provider is Sprint fwiw
brand: @165441 After switching off the Cellular Data option from your Settings, did you restart your device? [https://t.co/OWRDHWSt4h](https://t.co/OWRDHWSt4h) [https://t.co/GDrqU22YpT](https://t.co/GDrqU22YpT)",,,,auto_handle,can you see anything loading in the other App Store tabs like Games or Updates?,"Are you able to see anything in the other section of the App Store? For example, Today, Games or Update?",1,1,1,1,2,1,0,"Unrelated to conversation context; maintained as a poor response example."
32,,101,@AppleSupport Thanks!,"customer: @115858 so were you going to fix this “i” situation ... or you just chilling? Like my mans said .. Got a damn iPhone and the “i” don’t work
brand: @661424 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: [https://t.co/4f8hwT5to6](https://t.co/4f8hwT5to6) DM us if there's any questions. [https://t.co/GDrqU22YpT](https://t.co/GDrqU22YpT)",,,,escalate,you're welcome! reach out if you need anything else.,Glad you reached out. Please DM us and we can chat.,4,4,3,3,5,3,1,"Polite closing response, though escalation context is standard."
33,,134,@AppleSupport Yes. It normally rotates freely. It just gets “confused” sometimes. Especially locking the phone in one orientation and opening in another,"customer: @AppleSupport how come sometimes my 6S+ cant decide what orientation to use? Happens constantly :( [https://t.co/XNse7kZa0j](https://t.co/XNse7kZa0j)
brand: @753008 We want to look into this further with you. Does this only occur on the lock screen? Which iOS version are you running?
customer: @AppleSupport 11.0.3. Symptoms started in 11. Also happens in programs in bed/@ beach. Gets stuck in side orient or amalgam of both, blocking some buttons
brand: @753008 We appreciate that information! Next, have you tried the steps listed here: [https://t.co/FvlNC7YmZ4](https://t.co/FvlNC7YmZ4)",,,,auto_handle,does the orientation get stuck in all apps or just specific ones like youtube?,This isn't something we expect to happen. Does this occur with all apps or only specific apps? Which iOS version is installed?,5,5,4,4,5,4,1,"Asks targeted scoping question about orientation behavior."
34,,5,@AppleSupport I can’t update from iOS 11.0.1 [https://t.co/isco5NAc3n,,,,,auto_handle,can](https://t.co/isco5NAc3n,,,,,auto_handle,can) you check if the update shows up when you connect to Wi-Fi instead of cellular?,Thanks for reaching out. Are you able to check for that update when you connect to Wi-Fi?,5,5,4,4,5,4,1,"Matches historical guidance on basic Wi-Fi check for updates."
35,,180,"Can’t wait to get an Android. Watching my iPhone battery life vanish by a percentage point every 15-30 seconds. Background refresh turned off. Data for almost all apps turned off. Great work, @115858. Nice “I” glitch, too, geniuses.",,,,,auto_handle,battery issues are the worst. shoot us a DM and we'll see what's draining it.,"We want to help you with your iPhone's battery life. DM us, and we'll look into this.",5,5,4,4,5,4,1,"Validates frustration and offers a DM routing channel."
36,,45,@AppleSupport It’s not hidden. I’ve checked,"customer: @AppleSupport An album in iTunes library isn’t there anymore or in the cloud. It was a purchase
brand: @419386 Let's see what's going on with that album. First, let's make sure it's not hidden: [https://t.co/jjLUETEY0J](https://t.co/jjLUETEY0J)",,,,auto_handle,do you also have an active Apple Music subscription? let us know in a DM.,"Do you have Apple Music? Send us a DM, and let us know.",5,5,4,4,5,4,1,"Logical troubleshooting question regarding Apple Music subscription."
37,,167,@AppleSupport this is done when the phone is idle.,"customer: @AppleSupport hello, under Ios 11.0.2 do you know of the iPhone 5S and SE which sometimes do not ring or vibrate during the calls received ?
brand: @216746 If this is happening with your iPhone, we'd like to take a closer look. Does this happen with every call? Have you restarted?
customer: @AppleSupport Yes, we restarted the phones. And that does very often since the last update. We had never had this problem under IOS 10.x.",,,,auto_handle,did it ever miss calls like this before you updated? let us know in a DM if restarting changed anything.,Thank you for taking the time to reach out to us. We'd love to look into this with you. Did the issue occur at all prior to updating? Does restarting make any difference? Let us know in DM.,5,5,4,4,5,4,1,"Asks helpful baseline comparison questions."
38,,98,@AppleSupport iOS 11.0.3,,,,,auto_handle,have you tried a quick restart yet? let us know if that helps.,We're happy to help. Have you tried restarting your iPhone? Let us know to continue.,5,5,4,4,5,4,1,"Standard helpful initial troubleshooting step."
39,,150,I was charging my phone and it still died on me... wtf y'all got going on @AppleSupport these iPhone batteries are ass,,,,,auto_handle,dying while plugged in definitely isn't right. DM us and we'll look into your battery diagnostics.,That's not the experience we want for you. Reach out to us in a DM and we'll work from there.,5,5,4,4,5,4,1,"Directly addresses the anomaly of dying while plugged in."
40,,145,"@115858 Why is it so hard to turn off wifi/BT in OS11? I wish i could dump a tub of discarded shrimp shells on the idiot who thought it's a ""feature"" to keep em running when you turn 'em off in CP. Many work in areas that restrict wifi/BT! Can't buy new iphone until this is fixed!",,,,,auto_handle,"this is actually expected behavior in the new control center. if you want them completely off, you just have to do it from the Settings app.",What you're describing is expected and is explained in the article provided. You can turn off Bluetooth/Wi-Fi in Settings app.,5,5,4,4,5,4,1,"Accurately explains OS behavior regarding control center versus settings toggles."
