golden_id,failure_category,failure_reason,customer_message,true_intent,predicted_intent,intent_confidence,retrieval_score,predicted_action,expected_action,generated_reply,human_helpfulness,human_relevance,human_actionability,human_groundedness,human_overall_quality,human_notes
14,intent_misclassification,predicted=device_troubleshooting; true=general_or_insufficient_context,"I have the Worst luck with phone between @AppleSupport and @TMobileHelp I always have problems No service, now no battery power😡😡😡😡😡😡",general_or_insufficient_context,device_troubleshooting,0.2387,0.7608,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
15,intent_misclassification,predicted=device_troubleshooting; true=general_or_insufficient_context,@AppleSupport That said when I type it,general_or_insufficient_context,device_troubleshooting,0.3617,0.8232,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
16,intent_misclassification,predicted=battery_power; true=how_to_settings,@193767 @AppleSupport @116333 @119462 @123857 Battery lasting barely one day now 😡,how_to_settings,battery_power,0.3573,0.834,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
17,intent_misclassification,predicted=how_to_settings; true=connectivity,@AppleSupport That worked thank you!,connectivity,how_to_settings,0.4441,0.8265,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
18,intent_misclassification,predicted=how_to_settings; true=apple_music_media,@AppleSupport What shall i do? https://t.co/xpTaWv3KdV,apple_music_media,how_to_settings,0.6649,0.7295,auto_handle,auto_handle,We'd like to help! Send us a DM with the country that you are located in to continue.,4,5,5,5,5,Good transition to DM to determine service options.
19,intent_misclassification,predicted=purchase_store_refund; true=device_troubleshooting,"@AppleSupport No error message, just constant spinning dial whilst phone/app connecting to exchange. Must be a 30sec lag compared to instant pre new IOS",device_troubleshooting,purchase_store_refund,0.173,0.7529,escalate,auto_handle,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,,,,,,
20,intent_misclassification,predicted=device_troubleshooting; true=general_or_insufficient_context,Hey @115858 I don’t think you fixed the glitch.,general_or_insufficient_context,device_troubleshooting,0.3156,0.8228,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
21,intent_misclassification,predicted=device_troubleshooting; true=software_update,Around what time are y’all gone stop ignoring this box issue? @AppleSupport @115858,software_update,device_troubleshooting,0.3385,0.7024,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
22,over_escalation,escalated_when_auto_handle_expected,@AppleSupport Sure,device_troubleshooting,device_troubleshooting,0.2847,0.8423,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
23,intent_misclassification,predicted=device_troubleshooting; true=connectivity,I️ need answers. Why do I️ still get that box with the question mark. My phone is updated. @AppleSupport,connectivity,device_troubleshooting,0.4313,0.8958,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
24,intent_misclassification,predicted=apple_music_media; true=battery_power,@AppleSupport We use Family Sharing. We use one Apple ID for all our iTunes purchases but each family member has an iCloud email address.,battery_power,apple_music_media,0.5917,0.7226,auto_handle,auto_handle,We know it's important to enjoy your music and understand how Apple Music works. We'd be happy to help out. Let's meet in DM.,4,5,5,5,5,Solid transition to DM for account-specific setup issues.
25,intent_misclassification,predicted=apple_music_media; true=account_security,"@AppleSupport don’t know what you did when updated podcasts but it sucks. I delete the last episode in my library, I get unsubscribed?",account_security,apple_music_media,0.6789,0.8348,auto_handle,escalate,We are glad that you are all set. Are you able to re-subscribe to the podcast? You can review the steps in this article:,,,,,,
26,over_escalation,escalated_when_auto_handle_expected,"@AppleSupport hi, my shipment W488495674 BeatsX has broken, how i claim the warantee?",device_troubleshooting,device_troubleshooting,0.2583,0.7233,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
27,intent_misclassification,predicted=apple_music_media; true=purchase_store_refund,"@AppleSupport I’m playing music on Spotify now, why isn’t Control Centre connected to it? I’m on an iPhone 7. #iOS11 https://t.co/8WBTSvKb7u",purchase_store_refund,apple_music_media,0.5099,0.8116,auto_handle,escalate,We're happy to help. Does the native Music app display in the Control Center?,,,,,,
28,intent_misclassification,predicted=device_troubleshooting; true=apple_music_media,I'm so confused by this damn apple A thing with that square with the question mark y'all got me fucked up @115858,apple_music_media,device_troubleshooting,0.2438,0.7876,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
29,intent_misclassification,predicted=device_troubleshooting; true=app_service_issue,@68407 *sigh* I need this @AppleSupport @115858 glitch to be fixed ASAP! 😔,app_service_issue,device_troubleshooting,0.3196,0.8766,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
30,intent_misclassification,predicted=software_update; true=how_to_settings,@AppleSupport The problem is that with iOS 11.0.2 the battery of my iPhone 6 runs empty after minimal usage. I cannot work with a disfunctional phone,how_to_settings,software_update,0.2288,0.7263,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
32,intent_misclassification,predicted=how_to_settings; true=software_update,@AppleSupport ?,software_update,how_to_settings,0.3433,0.7061,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
33,intent_misclassification,predicted=apple_music_media; true=battery_power,"@AppleSupport Okay - trying to restore iPod Classic. iTunes is not recognizing the drive to restore. Already booted into DFU mode, what next?",battery_power,apple_music_media,0.315,0.655,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
34,intent_misclassification,predicted=device_troubleshooting; true=connectivity,@AppleSupport I updated my phone two days ago and just now for 20 minuets my phone was repeatedly turning off and on! 🙄🙄🤦🏽‍♀️,connectivity,device_troubleshooting,0.3517,0.8183,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
35,intent_misclassification,predicted=purchase_store_refund; true=app_service_issue,@AppleSupport I hate iOS 11 with a passion! It is garbage!!! Fix it now!! My Health app doesn’t refresh now. Can you just fix it already?!? I wish I had purchased an android. I have never been so disappointed with Apple 😡 #ios11sucks,app_service_issue,purchase_store_refund,0.4081,0.7157,escalate,auto_handle,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,,,,,,
36,intent_misclassification,predicted=purchase_store_refund; true=general_or_insufficient_context,"@AppleSupport we are not getting response from apple India wrote two mails , i hvent expect such from apple inc.",general_or_insufficient_context,purchase_store_refund,0.3961,0.7883,escalate,auto_handle,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,3,4,4,2,3,Escalation is appropriate but tone is generic compared to the historical DM request.
37,intent_misclassification,predicted=app_service_issue; true=purchase_store_refund,"@AppleSupport Very unhappy with the experience after the ios 11 update. Phone's getting stuck, screen rotate not working at times, keypad not working while adding calls :( iphone never used to give surprises like these in the past!",purchase_store_refund,app_service_issue,0.644,0.8028,auto_handle,escalate,Thanks for the details. We're here for you. Which version of iOS 11 are you running? Check by tapping Settings &gt; General &gt; About.,,,,,,
38,intent_misclassification,predicted=software_update; true=general_or_insufficient_context,@AppleSupport Thanks 😄,general_or_insufficient_context,software_update,0.3381,0.7453,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
39,intent_misclassification,predicted=device_troubleshooting; true=account_security,"@AppleSupport my timer and alarms won’t work. When I set a timer, it counts down and just disappears. And alarms won’t even notify me.",account_security,device_troubleshooting,0.315,0.8143,escalate,escalate,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
40,intent_misclassification,predicted=device_troubleshooting; true=apple_music_media,@115858 please fix this I️ can’t handle it.,apple_music_media,device_troubleshooting,0.3735,0.7969,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,2,3,4,2,2,Generic escalation used instead of providing the known fix for the I bug.
41,intent_misclassification,predicted=apple_music_media; true=device_troubleshooting,@AppleSupport Check: Latest iTunes ☑️ Reiliable Wi-fi ☑️. Have iTunes unknown error ❌ 0xE8000013 wen trying 2activate via iTunes! Still server unreachable,device_troubleshooting,apple_music_media,0.3132,0.7251,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
42,intent_misclassification,predicted=device_troubleshooting; true=general_or_insufficient_context,@187675 @AppleSupport Thank you. You should move that button back to Display &amp; Brightness where it used to be &amp; makes more sense. #buried,general_or_insufficient_context,device_troubleshooting,0.4625,0.7148,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
43,intent_misclassification,predicted=device_troubleshooting; true=software_update,"@AppleSupport I’m now on my second I watch, and have tried the reset&amp;restart my phone and I watch etc and still not solved any problems",software_update,device_troubleshooting,0.7218,0.7208,auto_handle,auto_handle,Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can troubleshoot together.,4,5,5,5,5,Good move to DM after basic troubleshooting failed.
44,intent_misclassification,predicted=software_update; true=connectivity,@AppleSupport it don’t work!!!,connectivity,software_update,0.4002,0.7202,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
45,intent_misclassification,predicted=apple_music_media; true=battery_power,@AppleSupport It’s not hidden. I’ve checked,battery_power,apple_music_media,0.6489,0.743,auto_handle,auto_handle,"Do you have Apple Music? Send us a DM, and let us know.",4,5,5,5,5,Good follow-up question and move to DM.
46,intent_misclassification,predicted=connectivity; true=app_service_issue,"@AppleSupport Please note that I have also lost numbers that were saved in my note pad app which were crucial to me such as WiFi access, modem reset pins, bank accounts etc. Kindly assist urgently. Regards Thabo, from South Africa (2)",app_service_issue,connectivity,0.3839,0.6588,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
47,intent_misclassification,predicted=how_to_settings; true=device_troubleshooting,@AppleSupport I had not reset my device since I updated to iOS 11. Thanks for the tip.,device_troubleshooting,how_to_settings,0.5374,0.7451,auto_handle,auto_handle,"Are you able to see anything in the other section of the App Store? For example, Today, Games or Update?",1,1,1,5,2,Fully grounded in historical response but completely irrelevant to the conversation context.
48,intent_misclassification,predicted=connectivity; true=how_to_settings,@AppleSupport USA,how_to_settings,connectivity,0.5834,0.6874,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
49,intent_misclassification,predicted=device_troubleshooting; true=purchase_store_refund,@AppleSupport neither the flashlight or camera lock screen buttons work on the #iPhoneX #iOS 11.1,purchase_store_refund,device_troubleshooting,0.8884,0.678,escalate,escalate,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
50,intent_misclassification,predicted=device_troubleshooting; true=general_or_insufficient_context,@524124 Nah @115858 needs to fix it ASAP 💀,general_or_insufficient_context,device_troubleshooting,0.3379,0.769,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
51,intent_misclassification,predicted=apple_music_media; true=software_update,@115858 where the hell have all my photos gone from my phone?!! Just updated and 2 years of photos have vanished??!!!,software_update,apple_music_media,0.407,0.8307,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
52,intent_misclassification,predicted=how_to_settings; true=device_troubleshooting,@AppleSupport Hi I’ve just installed a new hard drive in my MacBook and on opening Safari it re-opens with the last used search criteria in the bar / do you know how I get it to re-open with a clean search bar pls ?,device_troubleshooting,how_to_settings,0.4305,0.5689,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
53,intent_misclassification,predicted=device_troubleshooting; true=battery_power,@115858 fix this I️,battery_power,device_troubleshooting,0.4544,0.8059,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
54,intent_misclassification,predicted=software_update; true=connectivity,Hey @AppleSupport iOS 11 it’s so pretty but is ñor functional. Decrease the battery and is too slow to open any app.,connectivity,software_update,0.4436,0.8216,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
55,intent_misclassification,predicted=software_update; true=apple_music_media,@AppleSupport I DMed you the details.,apple_music_media,software_update,0.4225,0.7831,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
56,over_escalation,escalated_when_auto_handle_expected,Ummmm @AppleSupport my I️ are not i suddenly!!!,app_service_issue,app_service_issue,0.2689,0.7568,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,2,3,4,2,3,Generic escalation for a known bug; misses the context that they might be in DMs.
57,intent_misclassification,predicted=apple_music_media; true=account_security,@AppleSupport Here we go again trying to add a song to my library and it won’t work😑😑😑😑,account_security,apple_music_media,0.6344,0.7355,auto_handle,escalate,We can help. What happens when you add music to your Apple Music library? Do you see an error prompt?,,,,,,
58,intent_misclassification,predicted=how_to_settings; true=purchase_store_refund,"@AppleSupport Okay, I really don’t know how this happened. I did not try something else, but the tracks are magically in order now. 😄 I have nothing to do with this &amp; don’t know how this happened, but I ain’t complaining. 🤷🏻‍♂️😊 https://t.co/DUazRhboB9",purchase_store_refund,how_to_settings,0.3931,0.8078,escalate,escalate,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,1,1,1,2,1,The customer stated the issue resolved itself; escalating is completely unnecessary.
59,intent_misclassification,predicted=purchase_store_refund; true=how_to_settings,"Do they even sell replacement screens for iPhone 5s? 😂 I feel like my phone is so old, but I can't afford to replace it. @applesupport",how_to_settings,purchase_store_refund,0.5947,0.7255,escalate,auto_handle,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,,,,,,
60,intent_misclassification,predicted=purchase_store_refund; true=device_troubleshooting,"@AppleSupport Yes, no, and the US, respectively. :)",device_troubleshooting,purchase_store_refund,0.2313,0.6831,escalate,auto_handle,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,,,,,,
61,intent_misclassification,predicted=how_to_settings; true=software_update,@AppleSupport That sort of misses my point. I don't want to need iCloud at all. I'm often without data and want to not need data to access my stuff.,software_update,how_to_settings,0.3951,0.7436,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
62,intent_misclassification,predicted=connectivity; true=battery_power,"@AppleSupport Are we gonna get the option of Mobile Hotspot in next update of ios, or should we downgrade to Android?",battery_power,connectivity,0.2979,0.6691,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
63,intent_misclassification,predicted=device_troubleshooting; true=connectivity,@AppleSupport When i txt apple users i will receive the message as a iMessage and a txt me.,connectivity,device_troubleshooting,0.2812,0.7936,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
64,intent_misclassification,predicted=software_update; true=device_troubleshooting,@AppleSupport Smh,device_troubleshooting,software_update,0.5192,0.8339,auto_handle,auto_handle,Thanks for the details. We’re here to help. Let us know via DM if this happens after going to Settings &gt; Keyboards &gt; Predictive and turn it off.,4,5,5,5,5,Provides the exact workaround instructions matching historical data.
65,intent_misclassification,predicted=device_troubleshooting; true=general_or_insufficient_context,@AppleSupport No. Fix your shit. The new update is shit. Bye. Im going to android,general_or_insufficient_context,device_troubleshooting,0.349,0.6904,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
66,intent_misclassification,predicted=battery_power; true=apple_music_media,@AppleSupport i have the 6s plus and my battery is always going out sooo fast,apple_music_media,battery_power,0.8845,0.8408,auto_handle,auto_handle,Thanks for the details. Battery life is everything. Let's help! Which exact iOS version are you using? When did you first notice this battery issue?,4,5,5,5,5,Excellent troubleshooting questions matching brand voice.
67,intent_misclassification,predicted=purchase_store_refund; true=app_service_issue,@AppleSupport - when does your Bluewater store re-open please?,app_service_issue,purchase_store_refund,0.4613,0.7076,escalate,auto_handle,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,,,,,,
68,intent_misclassification,predicted=device_troubleshooting; true=purchase_store_refund,@AppleSupport Is this link relevant to iPhone X? @115858 New Zealand page has different prices and there is no mention of backside glass panel.,purchase_store_refund,device_troubleshooting,0.3714,0.629,escalate,escalate,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
69,intent_misclassification,predicted=battery_power; true=account_security,@AppleSupport Why can’t I️ see any emojis with the new update 🤬🤬🤬,account_security,battery_power,0.3178,0.7889,escalate,escalate,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
70,intent_misclassification,predicted=software_update; true=how_to_settings,@AppleSupport 11.1,how_to_settings,software_update,0.3538,0.743,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
71,intent_misclassification,predicted=purchase_store_refund; true=general_or_insufficient_context,@AppleSupport you asked me to send a DM. Don’t know what that is. Here’s a solid picture of what is happening https://t.co/7M9EQ02Jqo,general_or_insufficient_context,purchase_store_refund,0.4765,0.7176,escalate,auto_handle,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,,,,,,
72,intent_misclassification,predicted=purchase_store_refund; true=software_update,@AppleSupport But i can take from Dubai ?,software_update,purchase_store_refund,0.5284,0.7206,escalate,auto_handle,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,,,,,,
73,intent_misclassification,predicted=purchase_store_refund; true=device_troubleshooting,This just happened; simply snapped while I was unplugging it from my iPhone. A friend told me you could help? @AppleSupport @115858 https://t.co/yTw9mkSFMf,device_troubleshooting,purchase_store_refund,0.2899,0.6739,escalate,auto_handle,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,,,,,,
74,over_escalation,escalated_when_auto_handle_expected,@AppleSupport If I️ wanna move app from one side to the other? When I️ drag them and finally drop the app where I️ want it goes back to where it was.,battery_power,battery_power,0.2426,0.695,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
75,intent_misclassification,predicted=device_troubleshooting; true=connectivity,I’m so sick of @115858 ever since the new iPhone came out mine has been acting up I can’t even update my fucking apps 😒😤,connectivity,device_troubleshooting,0.5035,0.8458,auto_handle,auto_handle,Thanks for the details. Let's look at your battery together. Does your iPhone show the message identified in this article:,,,,,,
76,intent_misclassification,predicted=device_troubleshooting; true=apple_music_media,"@AppleSupport God I’ve been tweeting constantly as have others. I can DM but it’s just a shitty design for your new keyboard. I type letters as a,ways and the stupid numbers appear instead.",apple_music_media,device_troubleshooting,0.5839,0.7473,auto_handle,auto_handle,Thanks for the details. None,1,1,1,1,1,Severe failure generating 'None'.
77,intent_misclassification,predicted=device_troubleshooting; true=app_service_issue,"@AppleSupport Maybe for about 3 months, it used to be pretty far apart like hours apart now it feels like every 20 minutes or so. And i have an iPhone 7",app_service_issue,device_troubleshooting,0.2621,0.7585,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,3,4,4,2,3,Appropriate to escalate but misses the opportunity to gather more specific details like the historical response.
78,intent_misclassification,predicted=device_troubleshooting; true=purchase_store_refund,Ever since the update my phone freezes at least twice a day 🙃🙃 @115858,purchase_store_refund,device_troubleshooting,0.6127,0.8426,auto_handle,escalate,Thanks for the details. Let’s work together to get this addressed. Which iPhone are you using? Let us know via a DM. We’ll move from there.,,,,,,
79,intent_misclassification,predicted=software_update; true=account_security,@AppleSupport No not using low power mode. Seeing many others having same problem as I am with slow glitchy phone. When will this update be fixed?,account_security,software_update,0.4827,0.8165,escalate,escalate,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
80,intent_misclassification,predicted=battery_power; true=how_to_settings,Still having battery charge issues @115858 @AppleSupport #sodisappointed,how_to_settings,battery_power,0.6783,0.8173,auto_handle,auto_handle,Thanks for the details. Let's take a look at your battery life together. Maybe we can find a resolution. Tell us the details in DM. We'll work there.,4,5,5,5,5,Perfect match with a clear action to DM.
82,intent_misclassification,predicted=software_update; true=general_or_insufficient_context,"@AppleSupport Difficult to organise the photos by app wise like WhatsApp and Facebook etc,,,",general_or_insufficient_context,software_update,0.2658,0.6705,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
83,intent_misclassification,predicted=device_troubleshooting; true=software_update,@AppleSupport Up to date https://t.co/xPAT6FApBS,software_update,device_troubleshooting,0.3176,0.8064,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
84,intent_misclassification,predicted=software_update; true=battery_power,@AppleSupport New bug? “it” gets autocorrected to “I.T”. Or is it just me? #iOS11,battery_power,software_update,0.3408,0.7918,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
85,intent_misclassification,predicted=software_update; true=connectivity,@AppleSupport Do you know why I am unable to see the software on iPhone 8plus? I have my old phone 6s on 11.0.2 and I can’t use my backup https://t.co/wFY6NUTxQU,connectivity,software_update,0.4246,0.7397,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
86,intent_misclassification,predicted=device_troubleshooting; true=apple_music_media,Can we get some help with this? @AppleSupport @115858 i can’t type a capital i https://t.co/CC6wu0XkVv,apple_music_media,device_troubleshooting,0.297,0.8551,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
87,intent_misclassification,predicted=device_troubleshooting; true=app_service_issue,"@AppleSupport Hello , I've got this problem , what should I do? , I couldn't stop finding my iPhone https://t.co/m2PrnX9F9c",app_service_issue,device_troubleshooting,0.3509,0.7933,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
88,low_intent_confidence,intent_confidence=0.2212,@AppleSupport why can’t I️ use I️?!? https://t.co/DrohhYBMSH,purchase_store_refund,purchase_store_refund,0.2212,0.7938,escalate,escalate,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,,,,,,
89,intent_misclassification,predicted=device_troubleshooting; true=account_security,My phone really fucking up😡😡😡😡😡😡😡 hanging up in the middle of my ft calls WTF @AppleSupport,account_security,device_troubleshooting,0.5444,0.7022,auto_handle,escalate,Thanks for the details. None,,,,,,
90,intent_misclassification,predicted=device_troubleshooting; true=how_to_settings,Yo this update ruined my phone... @115858,how_to_settings,device_troubleshooting,0.393,0.8979,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
91,over_escalation,escalated_when_auto_handle_expected,I️ wanna know why my phone has question marks replacing my I’s...? @AppleSupport,software_update,software_update,0.4859,0.8239,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
92,intent_misclassification,predicted=battery_power; true=device_troubleshooting,@296627 @115858 Yup! My phone used to last all day now I charge it about 3 times.,device_troubleshooting,battery_power,0.5666,0.8285,auto_handle,auto_handle,Thanks for the details. We'd like to help you with your battery issues since updating. DM us how long your battery lasts on a full charge.,,,,,,
93,intent_misclassification,predicted=device_troubleshooting; true=battery_power,@AppleSupport It happened outside as well. It seems to be happening a lot and only since the iOS update.,battery_power,device_troubleshooting,0.3024,0.8692,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
