golden_id,customer_message,true_intent,predicted_intent,intent_confidence,retrieval_score,retrieved_customer_message,historical_brand_response,grounded_reply,predicted_action,expected_action,escalation_reason,intent_correct,action_correct
11,@115858 FIX YO SHIT! Tired of this I️,device_troubleshooting,device_troubleshooting,0.336,0.9556,@115858 yo fix this shit. I️,@662414 We'd be glad to be of assistance. We have addressed this issue in our recent iOS 11.1.1 update: https://t.co/uQeXsrrlXJ,We'd be glad to be of assistance. We have addressed this issue in our recent iOS 11.1.1 update: https://t.co/uQeXsrrlXJ,escalate,auto_handle,low_intent_confidence,True,False
12,"Hey @115858 ever since the new IOS update my phone has been randomly freezing, shutting off, not connecting to WiFi, and it’s a 6S+ WTF",connectivity,connectivity,0.4926,0.8636,".@115858 hey, you've updated but iPhone 6s's are still freezing out of nowhere. I can't use my phone when that happens. iOS11 has been awful",@186729 We'd love to help out. Do you know what version of the iOS is on the device?,We'd love to help out. Do you know what version of the iOS is on the device?,escalate,auto_handle,low_intent_confidence,True,False
13,@AppleSupport can not download anything from the App Store. In canada.,device_troubleshooting,purchase_store_refund,0.372,0.8715,@AppleSupport I can’t download anything in the App Store :(,@545027 Let's look into this App Store issue for you. What happens when you attempt to download something? Let us know in DM. https://t.co/GDrqU22YpT,Let's look into this App Store issue for you. What happens when you attempt to download something? Let us know in DM. https://t.co/GDrqU22YpT,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific_intent,False,False
14,"I have the Worst luck with phone between @AppleSupport and @TMobileHelp I always have problems No service, now no battery power😡😡😡😡😡😡",general_or_insufficient_context,battery_power,0.3011,0.7683,@AppleSupport Please fix the battery life problem. Phone hardly worth using at the moment.,@178218 The Dock will appear when swiping up for Control Center as it's part of Control Center on iPad: https://t.co/vodH4madjc,The Dock will appear when swiping up for Control Center as it's part of Control Center on iPad: https://t.co/vodH4madjc,escalate,auto_handle,low_intent_confidence,False,False
15,@AppleSupport That said when I type it,general_or_insufficient_context,device_troubleshooting,0.3371,0.9031,@AppleSupport I’m seeing it when I️ type,@491616 We'd like to look into this further with you. Connect with us in DM to continue: https://t.co/GDrqU22YpT,We'd like to look into this further with you. Connect with us in DM to continue: https://t.co/GDrqU22YpT,escalate,auto_handle,low_intent_confidence,False,False
16,@193767 @AppleSupport @116333 @119462 @123857 Battery lasting barely one day now 😡,how_to_settings,purchase_store_refund,0.3535,0.8204,"@414266 @AppleSupport after a little over a week mine went back to a normal battery life. Not amazing, but not as horrible",None,None,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific_intent,False,False
17,@AppleSupport That worked thank you!,connectivity,device_troubleshooting,0.2616,1.0,@AppleSupport That worked thank you!,None,None,escalate,auto_handle,low_intent_confidence,False,False
18,@AppleSupport What shall i do? https://t.co/xpTaWv3KdV,apple_music_media,device_troubleshooting,0.2307,0.9711,@AppleSupport what should I do ? https://t.co/w4Pncxkzkm,@290078 We would like to help you with your App Store. What happens after you sign in there? Please respond in DM. https://t.co/GDrqU22YpT,We would like to help you with your App Store. What happens after you sign in there? Please respond in DM. https://t.co/GDrqU22YpT,escalate,auto_handle,low_intent_confidence,False,False
19,"@AppleSupport No error message, just constant spinning dial whilst phone/app connecting to exchange. Must be a 30sec lag compared to instant pre new IOS",device_troubleshooting,software_update,0.5359,0.7285,"@AppleSupport Laggy during app transition, phone has frozen up countless amount of times.. every 25 mins or so leading me to have to hard reset....",@322102 Thanks for that info. Which iPhone model are you experiencing this on? Let us know in DM. We'll meet you there. https://t.co/GDrqU22YpT,Thanks for that info. Which iPhone model are you experiencing this on? Let us know in DM. We'll meet you there. https://t.co/GDrqU22YpT,escalate,auto_handle,low_intent_confidence,False,False
20,Hey @115858 I don’t think you fixed the glitch.,general_or_insufficient_context,purchase_store_refund,0.2782,0.9225,Hey @115858 could you fix the glitch? THANKS I️,@206664 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific_intent,False,False
21,Around what time are y’all gone stop ignoring this box issue? @AppleSupport @115858,software_update,device_troubleshooting,0.3133,0.7222,@AppleSupport I can’t take seeing theses boxes anymore 😭😭😡🤬 when is this getting fixed fam?,@361450 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,escalate,auto_handle,low_intent_confidence,False,False
22,@AppleSupport Sure,device_troubleshooting,device_troubleshooting,0.2959,1.0,@AppleSupport Sure,None,None,escalate,auto_handle,low_intent_confidence,True,False
23,I️ need answers. Why do I️ still get that box with the question mark. My phone is updated. @AppleSupport,connectivity,device_troubleshooting,0.3617,0.9327,@AppleSupport Why does the box with the question mark keep appearing when I️ updated my phone ???,@584618 Thanks for reaching out to us. We are always happy to help. Send us a DM with more details so we can look into this with you. https://t.co/GDrqU22YpT,Thanks for reaching out to us. We are always happy to help. Send us a DM with more details so we can look into this with you. https://t.co/GDrqU22YpT,escalate,auto_handle,low_intent_confidence,False,False
24,@AppleSupport We use Family Sharing. We use one Apple ID for all our iTunes purchases but each family member has an iCloud email address.,battery_power,account_security,0.5132,0.6554,@AppleSupport hi. I am using family sharing and was wondering if I can share my “icloud music library” with my family members. Thanks.,"@260810 We're here for you. While you can't share the whole library, you can share playlists. Instructions here: https://t.co/fOwfrQUncQ","We're here for you. While you can't share the whole library, you can share playlists. Instructions here: https://t.co/fOwfrQUncQ",escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific_intent,False,False
25,"@AppleSupport don’t know what you did when updated podcasts but it sucks. I delete the last episode in my library, I get unsubscribed?",account_security,apple_music_media,0.706,0.8554,"@AppleSupport That worked — thanks! ...can you also tell me why I keep getting unsubscribed from one of my podcasts? Just one, not the others",@607939 We are glad that you are all set. Are you able to re-subscribe to the podcast? You can review the steps in this article: https://t.co/gQVExEKnrj,We are glad that you are all set. Are you able to re-subscribe to the podcast? You can review the steps in this article: https://t.co/gQVExEKnrj,auto_handle,escalate,sufficient_intent_and_historical_evidence,False,False
26,"@AppleSupport hi, my shipment W488495674 BeatsX has broken, how i claim the warantee?",device_troubleshooting,how_to_settings,0.464,0.7162,"So my Beats X broke after 3 months, had to organise a repair, Apple have now sent me an invalid shipping label and support hasn't a clue",@219983 We want to help. Tell us more about what's happening in DM. https://t.co/GDrqU22YpT,We want to help. Tell us more about what's happening in DM. https://t.co/GDrqU22YpT,escalate,auto_handle,low_intent_confidence,False,False
27,"@AppleSupport I’m playing music on Spotify now, why isn’t Control Centre connected to it? I’m on an iPhone 7. #iOS11 https://t.co/8WBTSvKb7u",purchase_store_refund,apple_music_media,0.5967,0.8127,"@AppleSupport hi, why when i’m playing music from spotify or even with the music app of ios 11, the control center looks like this??? https://t.co/d9La9BEuRA",@615678 We're here to help. Try restarting your iPhone as outlined here: https://t.co/n9BF3L9h6y DM us if the issue persists. https://t.co/GDrqU22YpT,We're here to help. Try restarting your iPhone as outlined here: https://t.co/n9BF3L9h6y DM us if the issue persists. https://t.co/GDrqU22YpT,escalate,escalate,low_intent_confidence,False,True
28,I'm so confused by this damn apple A thing with that square with the question mark y'all got me fucked up @115858,apple_music_media,purchase_store_refund,0.3114,0.7897,Apple needs to figure it the fuck out because these question marks in the fucking box are not what I’m about @115858,@510126 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific_intent,False,False
29,@68407 *sigh* I need this @AppleSupport @115858 glitch to be fixed ASAP! 😔,app_service_issue,purchase_store_refund,0.2955,0.8863,@115858 @AppleSupport FIX THIS I️ glitch!!!!!!,@504042 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific_intent,False,False
30,@AppleSupport The problem is that with iOS 11.0.2 the battery of my iPhone 6 runs empty after minimal usage. I cannot work with a disfunctional phone,how_to_settings,software_update,0.8213,0.7591,@AppleSupport the battery of my #iphone 6 runs out very quickly after ios 11.1...can you help to fix this problem? #iOS111 #apple #problems,"@525413 Let's look into this. Let us know which device and iOS we're working with, in DM, and we'll continue. https://t.co/GDrqU22YpT","Let's look into this. Let us know which device and iOS we're working with, in DM, and we'll continue. https://t.co/GDrqU22YpT",auto_handle,auto_handle,sufficient_intent_and_historical_evidence,False,True
31,@AppleSupport 11.0.2,device_troubleshooting,software_update,0.7658,1.0,@AppleSupport 11.0.2,@172587 You can delete website data &amp; history by using the steps here: https://t.co/KATiqSeE7k let us know if that number changes,You can delete website data &amp; history by using the steps here: https://t.co/KATiqSeE7k let us know if that number changes,auto_handle,auto_handle,sufficient_intent_and_historical_evidence,False,True
32,@AppleSupport ?,software_update,device_troubleshooting,0.4972,1.0,@AppleSupport ?,"@691481 We apologize for the delay, was the playlist synced from iTunes?","We apologize for the delay, was the playlist synced from iTunes?",escalate,auto_handle,low_intent_confidence,False,False
33,"@AppleSupport Okay - trying to restore iPod Classic. iTunes is not recognizing the drive to restore. Already booted into DFU mode, what next?",battery_power,apple_music_media,0.7626,0.6515,@AppleSupport I installed iTunes &amp; tried restore but it errors out every time,"@371172 Okay, can you tell us what the error says? For example, do you receive an error number?","Okay, can you tell us what the error says? For example, do you receive an error number?",auto_handle,auto_handle,sufficient_intent_and_historical_evidence,False,True
34,@AppleSupport I updated my phone two days ago and just now for 20 minuets my phone was repeatedly turning off and on! 🙄🙄🤦🏽‍♀️,connectivity,purchase_store_refund,0.3325,0.8459,@AppleSupport MY PHONE HAS BEEN STUCK UPDATING FOR 15 HOURS!!!!,@456298 We're here to help. Can you tell us if you are updating applications or are you trying to update the operating system?,We're here to help. Can you tell us if you are updating applications or are you trying to update the operating system?,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific_intent,False,False
35,@AppleSupport I hate iOS 11 with a passion! It is garbage!!! Fix it now!! My Health app doesn’t refresh now. Can you just fix it already?!? I wish I had purchased an android. I have never been so disappointed with Apple 😡 #ios11sucks,app_service_issue,software_update,0.5198,0.7099,@AppleSupport new IOS 11 causing electronic medical rececord app MyMedRec to not work and important medical data unavailable!,@380450 We'll help anyway we can. Is this only happening with the third-party app?,We'll help anyway we can. Is this only happening with the third-party app?,escalate,auto_handle,low_intent_confidence,False,False
36,"@AppleSupport we are not getting response from apple India wrote two mails , i hvent expect such from apple inc.",general_or_insufficient_context,purchase_store_refund,0.4185,0.776,@AppleSupport can you please help me with apple India customer care no.?,@650618 We'd be happy to help. Please DM us details of what exactly is going on and we'll continue with you there. https://t.co/GDrqU22YpT,We'd be happy to help. Please DM us details of what exactly is going on and we'll continue with you there. https://t.co/GDrqU22YpT,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific_intent,False,False
37,"@AppleSupport Very unhappy with the experience after the ios 11 update. Phone's getting stuck, screen rotate not working at times, keypad not working while adding calls :( iphone never used to give surprises like these in the past!",purchase_store_refund,app_service_issue,0.6014,0.8147,Well I tried... but iOS 11 still sucks. @AppleSupport bugs with apps that are updating getting stuck.. and issues with auto-rotate..,@433563 We're here for you. Which version of iOS 11 are you running? Check by tapping Settings &gt; General &gt; About.,We're here for you. Which version of iOS 11 are you running? Check by tapping Settings &gt; General &gt; About.,auto_handle,escalate,sufficient_intent_and_historical_evidence,False,False
38,@AppleSupport Thanks 😄,general_or_insufficient_context,device_troubleshooting,0.2427,1.0,@AppleSupport Thanks 🙏🏼,None,None,escalate,auto_handle,low_intent_confidence,False,False
39,"@AppleSupport my timer and alarms won’t work. When I set a timer, it counts down and just disappears. And alarms won’t even notify me.",account_security,device_troubleshooting,0.2901,0.8206,@AppleSupport my alarm/timer has suddenly stopped working. Tried to restart and reset my phone and still nothing. Any suggestions?,"@151045 We'd like to take a closer look at this to figure out the best path forward. Send over more details of what's happening specifically via DM. Along with that, let us know what type of iPhone you're using and your current iOS version. https://t.co/GDrqU22YpT","We'd like to take a closer look at this to figure out the best path forward. Send over more details of what's happening specifically via DM. Along with that, let us know what type of iPhone you're using and your current iOS version. https://t.co/GDrqU22YpT",escalate,escalate,low_intent_confidence,False,True
40,@115858 please fix this I️ can’t handle it.,apple_music_media,device_troubleshooting,0.3328,0.9392,@115858 please fix this. I️ can’t live this way.,@486853 Hi there! This should fix you up: https://t.co/xU1AGHStV6,Hi there! This should fix you up: https://t.co/xU1AGHStV6,escalate,auto_handle,low_intent_confidence,False,False
41,@AppleSupport Check: Latest iTunes ☑️ Reiliable Wi-fi ☑️. Have iTunes unknown error ❌ 0xE8000013 wen trying 2activate via iTunes! Still server unreachable,device_troubleshooting,apple_music_media,0.7507,0.7102,@AppleSupport iTunes Win7. Rebooted but always get “error connecting to Apple ID server”,@358770 We can look into this with you. Let's start here: https://t.co/HLE0hfPneP,We can look into this with you. Let's start here: https://t.co/HLE0hfPneP,auto_handle,auto_handle,sufficient_intent_and_historical_evidence,False,True
42,@187675 @AppleSupport Thank you. You should move that button back to Display &amp; Brightness where it used to be &amp; makes more sense. #buried,general_or_insufficient_context,device_troubleshooting,0.453,0.7085,@AppleSupport Thank you. But shouldn’t that be under the brightness menu?,@155765 That feature has moved locations starting with iOS 11. We welcome you to share feedback here: https://t.co/eTPVYVFyd8,That feature has moved locations starting with iOS 11. We welcome you to share feedback here: https://t.co/eTPVYVFyd8,escalate,auto_handle,low_intent_confidence,False,False
43,"@AppleSupport I’m now on my second I watch, and have tried the reset&amp;restart my phone and I watch etc and still not solved any problems",software_update,device_troubleshooting,0.6977,0.8009,@496783 @AppleSupport I have the same issue. Full reset on watch and iphone too.,@199886 We appreciate your interest and encourage you to stay up to date on Apple news here: https://t.co/gbIPLOsnZd,We appreciate your interest and encourage you to stay up to date on Apple news here: https://t.co/gbIPLOsnZd,auto_handle,auto_handle,sufficient_intent_and_historical_evidence,False,True
44,@AppleSupport it don’t work!!!,connectivity,device_troubleshooting,0.3122,0.9531,@AppleSupport It didn’t work!! 😞,None,None,escalate,auto_handle,low_intent_confidence,False,False
45,@AppleSupport It’s not hidden. I’ve checked,battery_power,app_service_issue,0.2218,0.9243,@AppleSupport Nothing shows as hidden.,@316907 Thanks for checking. Let’s get you connected to an iTunes Store advisor who can look further into this: https://t.co/SDIe7UiyJN,Thanks for checking. Let’s get you connected to an iTunes Store advisor who can look further into this: https://t.co/SDIe7UiyJN,escalate,auto_handle,low_intent_confidence,False,False
46,"@AppleSupport Please note that I have also lost numbers that were saved in my note pad app which were crucial to me such as WiFi access, modem reset pins, bank accounts etc. Kindly assist urgently. Regards Thabo, from South Africa (2)",app_service_issue,connectivity,0.4162,0.6466,@AppleSupport I will try and back it up from my laptop if not the I will have lost all my numbers,@395236 Let's take a closer look at this together. Please DM us and let's work together there. https://t.co/GDrqU22YpT,Let's take a closer look at this together. Please DM us and let's work together there. https://t.co/GDrqU22YpT,escalate,auto_handle,low_intent_confidence,False,False
47,@AppleSupport I had not reset my device since I updated to iOS 11. Thanks for the tip.,device_troubleshooting,software_update,0.9064,0.8879,"@AppleSupport iOS 11.2, I did not restart my phone before.",@497659 Let's look into this further. DM us to continue. https://t.co/GDrqU22YpT,Let's look into this further. DM us to continue. https://t.co/GDrqU22YpT,auto_handle,auto_handle,sufficient_intent_and_historical_evidence,False,True
48,@AppleSupport USA,how_to_settings,purchase_store_refund,0.2809,1.0,@AppleSupport USA,@222739 Thanks. Let's get you in the right place. Our Apple TV specialist will be able to assist you here: https://t.co/IBIY3vMgPj,Thanks. Let's get you in the right place. Our Apple TV specialist will be able to assist you here: https://t.co/IBIY3vMgPj,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific_intent,False,False
49,@AppleSupport neither the flashlight or camera lock screen buttons work on the #iPhoneX #iOS 11.1,purchase_store_refund,device_troubleshooting,0.7501,0.6721,"@AppleSupport iPhone X, on the lock screen, camera and flashlight buttons are green and I can’t use them. Searched but cant fix it. Any help?",@728184 Congratulations on your new iPhone X! We know how important it is to have your new device working as expected. Let's work together in DM here: https://t.co/GDrqU22YpT,Congratulations on your new iPhone X! We know how important it is to have your new device working as expected. Let's work together in DM here: https://t.co/GDrqU22YpT,auto_handle,escalate,sufficient_intent_and_historical_evidence,False,False
50,@524124 Nah @115858 needs to fix it ASAP 💀,general_or_insufficient_context,device_troubleshooting,0.3351,0.8775,@115858 fix it I️ 😡,@636541 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 https://t.co/GDrqU22YpT,escalate,auto_handle,low_intent_confidence,False,False
51,@115858 where the hell have all my photos gone from my phone?!! Just updated and 2 years of photos have vanished??!!!,software_update,device_troubleshooting,0.3467,0.8699,I’m so pissed off at @115858 right now !!! I updated my phone &amp; lost all my pictures. This is NOT ok 😡,@118952 Let's take a look at this together. Do you use iCloud Photo Library? Is that on in Settings &gt; Photos? Let us know in DM. https://t.co/GDrqU22YpT,Let's take a look at this together. Do you use iCloud Photo Library? Is that on in Settings &gt; Photos? Let us know in DM. https://t.co/GDrqU22YpT,escalate,auto_handle,low_intent_confidence,False,False
52,@AppleSupport Hi I’ve just installed a new hard drive in my MacBook and on opening Safari it re-opens with the last used search criteria in the bar / do you know how I get it to re-open with a clean search bar pls ?,device_troubleshooting,how_to_settings,0.5356,0.5399,@AppleSupport kindly see attached. Search bar is always on. https://t.co/3PGouUZFbt,@344777 We can definitely see what you mean and we'd like to help. Which iOS version is installed? Has your iPhone been restarted?,We can definitely see what you mean and we'd like to help. Which iOS version is installed? Has your iPhone been restarted?,escalate,auto_handle,low_intent_confidence;low_retrieval_evidence,False,False
53,@115858 fix this I️,battery_power,device_troubleshooting,0.3732,1.0,@115858 fix this I️,@500357 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,escalate,auto_handle,low_intent_confidence,False,False
54,Hey @AppleSupport iOS 11 it’s so pretty but is ñor functional. Decrease the battery and is too slow to open any app.,connectivity,software_update,0.8433,0.8148,@AppleSupport Totally disappointed with iOS 11. Not working smoothly as before. Taking time to load any app. Apple is not like before now a days.,@216368 We'd like to look into these issues with you. Please DM us about this and we'll continue there. https://t.co/GDrqU22YpT,We'd like to look into these issues with you. Please DM us about this and we'll continue there. https://t.co/GDrqU22YpT,auto_handle,auto_handle,sufficient_intent_and_historical_evidence,False,True
55,@AppleSupport I DMed you the details.,apple_music_media,device_troubleshooting,0.2818,0.9042,@AppleSupport i dmed you.,None,None,escalate,auto_handle,low_intent_confidence,False,False
56,Ummmm @AppleSupport my I️ are not i suddenly!!!,app_service_issue,device_troubleshooting,0.235,0.7817,@AppleSupport Yes I am!,@355327 Have you had a chance to try a different charger? Let us know in DM. https://t.co/GDrqU22YpT,Have you had a chance to try a different charger? Let us know in DM. https://t.co/GDrqU22YpT,escalate,auto_handle,low_intent_confidence,False,False
57,@AppleSupport Here we go again trying to add a song to my library and it won’t work😑😑😑😑,account_security,apple_music_media,0.7022,0.9145,@AppleSupport Any song I try to add to my library,"@158799 What happens if you try to remove a song from your library? Does it allow that, or does it still do nothing?","What happens if you try to remove a song from your library? Does it allow that, or does it still do nothing?",auto_handle,escalate,sufficient_intent_and_historical_evidence,False,False
58,"@AppleSupport Okay, I really don’t know how this happened. I did not try something else, but the tracks are magically in order now. 😄 I have nothing to do with this &amp; don’t know how this happened, but I ain’t complaining. 🤷🏻‍♂️😊 https://t.co/DUazRhboB9",purchase_store_refund,how_to_settings,0.4737,0.7537,@AppleSupport why has my tracks gone out of order on purchased album. How do I fix it. https://t.co/yoz5dkaYS0,"@403734 We'd like to look into this with you. To get started, send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT","We'd like to look into this with you. To get started, send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT",escalate,escalate,low_intent_confidence,False,True
59,"Do they even sell replacement screens for iPhone 5s? 😂 I feel like my phone is so old, but I can't afford to replace it. @applesupport",how_to_settings,purchase_store_refund,0.6551,0.7215,"@AppleSupport Hey, what's the price to have an iPhone 6 screen replaced and can it be done in store?",@285542 We're happy to find that information for you. DM us and tell us which country you're located in. https://t.co/GDrqU22YpT,We're happy to find that information for you. DM us and tell us which country you're located in. https://t.co/GDrqU22YpT,escalate,auto_handle,sensitive_or_transaction_specific_intent,False,False
60,"@AppleSupport Yes, no, and the US, respectively. :)",device_troubleshooting,device_troubleshooting,0.4251,0.7309,@AppleSupport What countries this feature supports?,@705952 Take a look here for the availability of Apple Music: https://t.co/0E1RSkqS0k,Take a look here for the availability of Apple Music: https://t.co/0E1RSkqS0k,escalate,auto_handle,low_intent_confidence,True,False
61,@AppleSupport That sort of misses my point. I don't want to need iCloud at all. I'm often without data and want to not need data to access my stuff.,software_update,connectivity,0.232,0.6963,"@AppleSupport my phone was disabled, and I don't have an icloud. Am I going to lose all my data?",@395104 We'd like to help! Send us a DM and we'll continue from there. https://t.co/GDrqU22YpT,We'd like to help! Send us a DM and we'll continue from there. https://t.co/GDrqU22YpT,escalate,auto_handle,low_intent_confidence,False,False
62,"@AppleSupport Are we gonna get the option of Mobile Hotspot in next update of ios, or should we downgrade to Android?",battery_power,connectivity,0.3093,0.6842,@AppleSupport I've updated to iOS 11.1 just now. I shall check out these WiFi hotspots tomorrow and later in the week.,@116855 Sounds good. Let us know the results in DM and we'll continue working with you there. Thanks again. https://t.co/GDrqU22YpT,Sounds good. Let us know the results in DM and we'll continue working with you there. Thanks again. https://t.co/GDrqU22YpT,escalate,auto_handle,low_intent_confidence,False,False
63,@AppleSupport When i txt apple users i will receive the message as a iMessage and a txt me.,connectivity,purchase_store_refund,0.252,0.8668,@AppleSupport And iMessages.,@315080 Let's take a closer look together. Please reach out to us via DM and we can go from there. https://t.co/GDrqU22YpT,Let's take a closer look together. Please reach out to us via DM and we can go from there. https://t.co/GDrqU22YpT,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific_intent,False,False
64,@AppleSupport Smh,device_troubleshooting,device_troubleshooting,0.2617,0.92,@AppleSupport Still same thing smh,"@119216 Thank you for testing out those steps. Send us a DM telling us the iPhone you have, and what happened before you restarted it. https://t.co/GDrqU22YpT","Thank you for testing out those steps. Send us a DM telling us the iPhone you have, and what happened before you restarted it. https://t.co/GDrqU22YpT",escalate,auto_handle,low_intent_confidence,True,False
65,@AppleSupport No. Fix your shit. The new update is shit. Bye. Im going to android,general_or_insufficient_context,device_troubleshooting,0.3159,0.8557,If y’all don’t fix this stupid ass update I’m going back to android @AppleSupport,@515486 We're here to help with any issues you encounter. What's happening with your device?,We're here to help with any issues you encounter. What's happening with your device?,escalate,auto_handle,low_intent_confidence,False,False
